id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
jack-mcgrath,Jack McGrath,Jack,McGrath,John James McGrath,MCG,,MALE,1919-10-08,1955-11-06,Los Angeles,united-states-of-america,united-states-of-america,
daniel-juncadella,Daniel Juncadella,Daniel,Juncadella,Daniel Juncadella Pérez-Sala,JUN,,MALE,1991-05-07,,Barcelona,spain,spain,
heinz-schiller,Heinz Schiller,Heinz,Schiller,Heinz Schiller,SCH,,MALE,1930-01-25,2007-03-26,Frauenfeld,switzerland,switzerland,
alfonso-de-portago,Alfonso de Portago,Alfonso,De Portago,Alfonso Antonio Vicente Eduardo Angel Blas Francisco de Borja Cabeza de Vaca y Leighton,DEP,,MALE,1928-10-11,1957-05-12,London,united-kingdom,spain,
ron-flockhart,Ron Flockhart,Ron,Flockhart,Ron Flockhart,FLO,,MALE,1923-06-16,1962-04-12,Edinburgh,united-kingdom,united-kingdom,
gianni-morbidelli,Gianni Morbidelli,Gianni,Morbidelli,Gianni Morbidelli,MOR,,MALE,1968-01-13,,Pesaro,italy,italy,
peter-whitehead,Peter Whitehead,Peter,Whitehead,Peter Nield Whitehead,WHI,,MALE,1914-11-12,1958-09-21,Menston,united-kingdom,united-kingdom,
tony-gaze,Tony Gaze,Tony,Gaze,Frederick Anthony Owen Gaze,GAZ,,MALE,1920-02-03,2013-07-29,Prahran,australia,australia,
guy-ligier,Guy Ligier,Guy,Ligier,Guy Camille Ligier,LIG,,MALE,1930-07-12,2015-08-23,Vichy,france,france,
stefan-johansson,Stefan Johansson,Stefan,Johansson,Stefan Nils Edwin Johansson,JOH,,MALE,1956-09-08,,Växjö,sweden,sweden,
arturo-merzario,Arturo Merzario,Arturo,Merzario,Arturo Francesco Merzario,MER,,MALE,1943-03-11,,Civenna,italy,italy,
gerry-ashmore,Gerry Ashmore,Gerry,Ashmore,Gerry Ashmore,ASH,,MALE,1936-07-25,2021-08-25,West Bromwich,united-kingdom,united-kingdom,
keith-greene,Keith Greene,Keith,Greene,Keith Greene,GRE,,MALE,1938-01-05,,Leytonstone,united-kingdom,united-kingdom,
callum-ilott,Callum Ilott,Callum,Ilott,Callum Ilott,ILO,,MALE,1998-11-11,,Cambridge,united-kingdom,united-kingdom,
josef-peters,Josef Peters,Josef,Peters,Josef Peters,PET,,MALE,1914-09-16,2001-04-24,Düsseldorf,germany,germany,
roberto-bussinello,Roberto Bussinello,Roberto,Bussinello,Roberto Bussinello,BUS,,MALE,1927-10-04,1999-08-24,Pistoia,italy,italy,
ralph-firman,Ralph Firman,Ralph,Firman,Ralph David Firman Jr.,FIR,,MALE,1975-05-20,,Norwich,united-kingdom,ireland,
jo-schlesser,Jo Schlesser,Jo,Schlesser,Joseph Schlesser,SCH,,MALE,1928-05-18,1968-07-07,Liouville,france,france,
trevor-blokdyk,Trevor Blokdyk,Trevor,Blokdyk,John Trevor Blokdyk,BLO,,MALE,1935-11-30,1995-03-19,Krugersdorp,south-africa,south-africa,
paul-england,Paul England,Paul,England,Paul England,ENG,,MALE,1929-03-28,2014-06-17,Melbourne,australia,australia,
bill-homeier,Bill Homeier,Bill,Homeier,Bill Homeier,HOM,,MALE,1918-08-31,2001-05-05,Rock Island,united-states-of-america,united-states-of-america,
philippe-adams,Philippe Adams,Philippe,Adams,Philippe Adams,ADA,,MALE,1969-11-19,,Mouscron,belgium,belgium,
guanyu-zhou,Guanyu Zhou,Guanyu,Zhou,Guanyu Zhou,ZHO,24,MALE,1999-05-30,,Shanghai,china,china,
stuart-lewis-evans,Stuart Lewis-Evans,Stuart,Lewis-Evans,Stuart Nigel Lewis-Evans,LEW,,MALE,1930-04-20,1958-10-25,Luton,united-kingdom,united-kingdom,
siegfried-stohr,Siegfried Stohr,Siegfried,Stohr,Siegfried Stohr,STO,,MALE,1952-10-10,,Rimini,italy,italy,
andy-linden,Andy Linden,Andy,Linden,Andy Linden,LIN,,MALE,1922-04-05,1987-02-10,Brownsville,united-states-of-america,united-states-of-america,
liam-lawson,Liam Lawson,Liam,Lawson,Liam Lawson,LAW,40,MALE,2002-02-11,,Hastings,new-zealand,new-zealand,
justin-wilson,Justin Wilson,Justin,Wilson,Justin Boyd Wilson,WIL,,MALE,1978-07-31,2015-08-24,Rotherham,united-kingdom,united-kingdom,
giedo-van-der-garde,Giedo van der Garde,Giedo,Van der Garde,Giedo Gijsbertus Gerrit van der Garde,VDG,,MALE,1985-04-25,,Rhenen,netherlands,netherlands,
enrico-toccacelo,Enrico Toccacelo,Enrico,Toccacelo,Enrico Toccacelo,TOC,,MALE,1978-12-14,,Rome,italy,italy,
alex-soler-roig,Alex Soler-Roig,Alex,Soler-Roig,Alex Soler-Roig,SOL,,MALE,1932-10-29,,Barcelona,spain,spain,
giorgio-pantano,Giorgio Pantano,Giorgio,Pantano,Giorgio Pantano,PAN,,MALE,1979-02-04,,Conselve,italy,italy,
ray-crawford,Ray Crawford,Ray,Crawford,Ray Crawford,CRA,,MALE,1915-10-26,1996-02-01,Roswell,united-states-of-america,united-states-of-america,
john-riseley-prichard,John Riseley-Prichard,John,Riseley-Prichard,John Henry Augustin Riseley-Prichard,RIS,,MALE,1924-01-17,1993-07-08,Hereford,united-kingdom,united-kingdom,
ettore-chimeri,Ettore Chimeri,Ettore,Chimeri,Ettore Muro Chimeri,CHI,,MALE,1921-06-04,1960-02-27,Lodi,italy,venezuela,
john-james,John James,John,James,John James,JAM,,MALE,1914-05-10,2002-01-27,Packwood,united-kingdom,united-kingdom,
nino-vaccarella,Nino Vaccarella,Nino,Vaccarella,Nino Vaccarella,VAC,,MALE,1933-03-04,2021-09-23,Palermo,italy,italy,
marshall-teague,Marshall Teague,Marshall,Teague,Marshall Pleasant Teague,TEA,,MALE,1921-02-22,1959-02-11,Daytona Beach,united-states-of-america,united-states-of-america,
toshio-suzuki,Toshio Suzuki,Toshio,Suzuki,Toshio Suzuki,SUZ,,MALE,1955-03-10,,Saitama Prefecture,japan,japan,
jos-verstappen,Jos Verstappen,Jos,Verstappen,Johannes Franciscus Verstappen,VER,,MALE,1972-03-04,,Montfort,netherlands,netherlands,
jean-lucienbonnet,Jean Lucienbonnet,Jean,Lucienbonnet,Lucien Jean Bonnet,LUC,,MALE,1923-01-07,1962-08-19,Nice,france,france,
christijan-albers,Christijan Albers,Christijan,Albers,Christijan Albers,ALB,,MALE,1979-04-16,,Eindhoven,netherlands,netherlands,
arthur-legat,Arthur Legat,Arthur,Legat,Arthur Legat,LEG,,MALE,1898-11-01,1960-02-23,Haine-Saint-Paul,belgium,belgium,
bill-holland,Bill Holland,Bill,Holland,Bill Holland,HOL,,MALE,1907-12-18,1984-05-20,Philadelphia,united-states-of-america,united-states-of-america,
walt-faulkner,Walt Faulkner,Walt,Faulkner,Walt Faulkner,FAU,,MALE,1918-02-16,1956-04-22,Tell,united-states-of-america,united-states-of-america,
tony-maggs,Tony Maggs,Tony,Maggs,Anthony Francis O'Connell Maggs,MAG,,MALE,1937-02-09,2009-06-02,Pretoria,south-africa,south-africa,
fabrizio-barbazza,Fabrizio Barbazza,Fabrizio,Barbazza,Fabrizio Barbazza,BAR,,MALE,1963-04-02,,Monza,italy,italy,
nelson-piquet-jr,Nelson Piquet Jr.,Nelson,Piquet Jr.,Nelson Ângelo Tamsma Piquet Souto Maior,PIQ,,MALE,1985-07-25,,Heidelberg,germany,brazil,
pastor-maldonado,Pastor Maldonado,Pastor,Maldonado,Pastor Rafael Maldonado Motta,MAL,13,MALE,1985-03-09,,Maracay,venezuela,venezuela,
bob-bondurant,Bob Bondurant,Bob,Bondurant,Robert Bondurant,BON,,MALE,1933-04-27,2021-11-12,Evanston,united-states-of-america,united-states-of-america,
georges-berger,Georges Berger,Georges,Berger,Georges Berger,BER,,MALE,1918-09-14,1967-08-23,Sint-Jans-Molenbeek,belgium,belgium,
bill-cheesbourg,Bill Cheesbourg,Bill,Cheesbourg,William Bernard Cheesbourg,CHE,,MALE,1927-06-12,1995-11-06,Tucson,united-states-of-america,united-states-of-america,
daniil-kvyat,Daniil Kvyat,Daniil,Kvyat,Daniil Vyacheslavovich Kvyat,KVY,26,MALE,1994-04-26,,Ufa,russia,russia,
jimmy-davies,Jimmy Davies,Jimmy,Davies,James Richard Davies,DAV,,MALE,1929-08-08,1966-06-11,Glendale,united-states-of-america,united-states-of-america,
roberto-bonomi,Roberto Bonomi,Roberto,Bonomi,Roberto Wenceslao Bonomi Oliva,BON,,MALE,1919-09-30,1992-01-10,Buenos Aires,argentina,argentina,
patrick-gaillard,Patrick Gaillard,Patrick,Gaillard,Patrick Gaillard,GAI,,MALE,1952-02-12,,Paris,france,france,
colin-chapman,Colin Chapman,Colin,Chapman,Anthony Colin Bruce Chapman,CHA,,MALE,1928-05-19,1982-12-16,London,united-kingdom,united-kingdom,
erwin-bauer,Erwin Bauer,Erwin,Bauer,Erwin Bauer,BAU,,MALE,1912-07-17,1958-06-03,Stuttgart,germany,germany,
leslie-marr,Leslie Marr,Leslie,Marr,Leslie Marr,MAR,,MALE,1922-08-14,2021-05-04,Durham,united-kingdom,united-kingdom,
giorgio-francia,Giorgio Francia,Giorgio,Francia,Giorgio Francia,FRA,,MALE,1947-11-08,,Bologna,italy,italy,
jean-louis-schlesser,Jean-Louis Schlesser,Jean-Louis,Schlesser,Jean-Louis Schlesser,SCH,,MALE,1948-09-12,,Nancy,france,france,
bruno-giacomelli,Bruno Giacomelli,Bruno,Giacomelli,Bruno Giacomelli,GIA,,MALE,1952-09-10,,Poncarale,italy,italy,
mauricio-gugelmin,Maurício Gugelmin,Maurício,Gugelmin,Maurício Gugelmin,GUG,,MALE,1963-04-20,,Joinville,brazil,brazil,
corrado-fabi,Corrado Fabi,Corrado,Fabi,Corrado Fabi,FAB,,MALE,1961-04-12,,Milan,italy,italy,
cesare-perdisa,Cesare Perdisa,Cesare,Perdisa,Cesare Perdisa,PER,,MALE,1932-10-21,1998-05-10,Bologna,italy,italy,
rene-arnoux,René Arnoux,René,Arnoux,René Alexandre Arnoux,ARN,,MALE,1948-07-04,,Pontcharra,france,france,
esteban-gutierrez,Esteban Gutiérrez,Esteban,Gutiérrez,Esteban Manuel Gutiérrez Gutiérrez,GUT,,MALE,1991-08-05,,Monterrey,mexico,mexico,
giovanni-lavaggi,Giovanni Lavaggi,Giovanni,Lavaggi,Giovanni Lavaggi,LAV,,MALE,1958-02-18,,Augusta,italy,italy,
elio-de-angelis,Elio de Angelis,Elio,De Angelis,Elio de Angelis,DEA,,MALE,1958-03-26,1986-05-15,Rome,italy,italy,
roberto-mieres,Roberto Mieres,Roberto,Mieres,Roberto Casimiro Mieres,MIE,,MALE,1924-12-03,2012-01-26,Mar del Plata,argentina,argentina,
michael-may,Michael May,Michael,May,Michael May,MAY,,MALE,1934-08-18,,Stuttgart,germany,switzerland,
ernesto-brambilla,Ernesto Brambilla,Ernesto,Brambilla,Ernesto Brambilla,BRA,,MALE,1934-01-31,2020-08-03,Monza,italy,italy,
ma-qinghua,Qing Hua Ma,Qing Hua,Ma,Qing Hua Ma,QIN,,MALE,1987-12-25,,Shanghai,china,china,
domenico-schiattarella,Domenico Schiattarella,Domenico,Schiattarella,Domenico Schiattarella,SCH,,MALE,1967-11-17,,Milan,italy,italy,
john-cordts,John Cordts,John,Cordts,John Cordts,COR,,MALE,1935-07-23,,Hamburg,germany,canada,
gijs-van-lennep,Gijs van Lennep,Gijs,Van Lennep,Gijsbert van Lennep,VAN,,MALE,1942-03-16,,Aerdenhout,netherlands,netherlands,
george-abecassis,George Abecassis,George,Abecassis,George Edgar Abecassis,ABE,,MALE,1913-03-21,1991-12-18,Oatlands,united-kingdom,united-kingdom,
didier-pironi,Didier Pironi,Didier,Pironi,Didier Joseph Louis Pironi,PIR,,MALE,1952-03-26,1987-08-23,Villecresnes,france,france,
tony-crook,Tony Crook,Tony,Crook,Anthony Crook,CRO,,MALE,1920-02-16,2014-01-21,Manchester,united-kingdom,united-kingdom,
wolfgang-seidel,Wolfgang Seidel,Wolfgang,Seidel,Wolfgang Seidel,SEI,,MALE,1926-07-04,1987-03-01,Dresden,germany,germany,
nelson-piquet,Nelson Piquet,Nelson,Piquet,Nelson Piquet Souto Maior,PIQ,,MALE,1952-08-17,,Rio de Janeiro,brazil,brazil,
fred-gamble,Fred Gamble,Fred,Gamble,Fred K. Gamble,GAM,,MALE,1932-03-17,2024-03-30,Pittsburgh,united-states-of-america,united-states-of-america,
fred-agabashian,Fred Agabashian,Fred,Agabashian,Levon Agabashian,AGA,,MALE,1913-08-21,1989-10-13,Modesto,united-states-of-america,united-states-of-america,
vittorio-brambilla,Vittorio Brambilla,Vittorio,Brambilla,Vittorio Brambilla,BRA,,MALE,1937-11-11,2001-05-26,Monza,italy,italy,
clive-puzey,Clive Puzey,Clive,Puzey,Clive Puzey,PUZ,,MALE,1941-07-11,,Bulawayo,zimbabwe,zimbabwe,
philippe-alliot,Philippe Alliot,Philippe,Alliot,Philippe Alliot,ALL,,MALE,1954-07-27,,Voves,france,france,
ricardo-zunino,Ricardo Zunino,Ricardo,Zunino,Ricardo Héctor Zunino,ZUN,,MALE,1949-04-13,,San Juan,argentina,argentina,
jody-scheckter,Jody Scheckter,Jody,Scheckter,Jody David Scheckter,SCH,,MALE,1950-01-29,,East London,south-africa,south-africa,
carlo-facetti,Carlo Facetti,Carlo,Facetti,Carlo Giovanni Facetti,FAC,,MALE,1935-06-26,,Cormano,italy,italy,
chuck-weyant,Chuck Weyant,Chuck,Weyant,Chuck Weyant,WEY,,MALE,1923-04-03,2017-01-24,St. Mary's,united-states-of-america,united-states-of-america,
david-hobbs,David Hobbs,David,Hobbs,David Wishart Hobbs,HOB,,MALE,1939-06-09,,Royal Leamington Spa,united-kingdom,united-kingdom,
claudio-langes,Claudio Langes,Claudio,Langes,Claudio Langes,LAN,,MALE,1961-08-04,,Brescia,italy,italy,
john-surtees,John Surtees,John,Surtees,John Surtees,SUR,,MALE,1934-02-11,2017-03-10,Tatsfield,united-kingdom,united-kingdom,
luigi-musso,Luigi Musso,Luigi,Musso,Luigi Musso,MUS,,MALE,1924-07-28,1958-07-06,Rome,italy,italy,
oscar-larrauri,Oscar Larrauri,Oscar,Larrauri,Oscar Rubén Larrauri,LAR,,MALE,1954-08-19,,Rosario,argentina,argentina,
guy-edwards,Guy Edwards,Guy,Edwards,Guy Richard Goronwy Edwards,EDW,,MALE,1942-12-30,,Macclesfield,united-kingdom,united-kingdom,
lucien-bianchi,Lucien Bianchi,Lucien,Bianchi,Luciano Bianchi,BIA,,MALE,1934-11-10,1969-03-30,Milan,italy,belgium,
giovanna-amati,Giovanna Amati,Giovanna,Amati,Giovanna Amati,AMA,,FEMALE,1959-07-20,,Rome,italy,italy,
lance-reventlow,Lance Reventlow,Lance,Reventlow,Lawrence Graf von Haugwitz-Hardenberg-Reventlow,REV,,MALE,1936-02-24,1972-07-24,London,united-kingdom,united-states-of-america,
jean-pierre-beltoise,Jean-Pierre Beltoise,Jean-Pierre,Beltoise,Jean-Pierre Maurice Georges Beltoise,BEL,,MALE,1937-04-26,2015-01-05,Paris,france,france,
franck-lagorce,Franck Lagorce,Franck,Lagorce,Franck Lagorce,LAG,,MALE,1968-09-01,,L'Haÿ-les-Roses,france,france,
gaston-mazzacane,Gastón Mazzacane,Gastón,Mazzacane,Gastón Hugo Mazzacane,MAZ,,MALE,1975-05-08,,La Plata,argentina,argentina,
tony-settember,Tony Settember,Tony,Settember,Anthony Frank Settember,SET,,MALE,1926-07-10,2014-05-04,Manila,philippines,united-states-of-america,
ernie-mccoy,Ernie McCoy,Ernie,McCoy,Ernie McCoy,MCC,,MALE,1921-02-19,2001-02-04,Reading,united-states-of-america,united-states-of-america,
christian-goethals,Christian Goethals,Christian,Goethals,Christian Roger Xavier Marie Joseph Ghislain Goethals,GOE,,MALE,1928-08-04,2003-02-26,Heule,belgium,belgium,
bill-moss,Bill Moss,Bill,Moss,Bill Moss,MOS,,MALE,1933-09-04,2010-01-13,Luton,united-kingdom,united-kingdom,
george-follmer,George Follmer,George,Follmer,George Follmer,FOL,,MALE,1934-01-27,,Phoenix,united-states-of-america,united-states-of-america,
vern-schuppan,Vern Schuppan,Vern,Schuppan,Vernon Schuppan,SCH,,MALE,1943-03-19,,Booleroo Centre,australia,australia,
jesus-iglesias,Jesús Iglesias,Jesús,Iglesias,Jesús Ricardo Iglesias,IGL,,MALE,1922-02-22,2005-07-11,Pergamino,argentina,argentina,
peter-walker,Peter Walker,Peter,Walker,Peter Douglas Conyers Walker,WAL,,MALE,1912-10-07,1984-03-01,Huby,united-kingdom,united-kingdom,
fritz-dorey,Fritz d'Orey,Fritz,D'Orey,Frederico José Carlos Themudo d'Orey,D'O,,MALE,1938-03-25,2020-08-31,São Paulo,brazil,brazil,
peter-westbury,Peter Westbury,Peter,Westbury,Peter Westbury,WES,,MALE,1938-05-26,2015-12-07,Roehampton,united-kingdom,united-kingdom,
pierre-levegh,Pierre Levegh,Pierre,Levegh,Pierre Eugène Alfred Bouillin,LEV,,MALE,1905-12-22,1955-06-11,Paris,france,france,
jim-hurtubise,Jim Hurtubise,Jim,Hurtubise,James Hurtubise,HUR,,MALE,1932-12-05,1989-01-06,North Tonawanda,united-states-of-america,united-states-of-america,
david-coulthard,David Coulthard,David,Coulthard,David Marshall Coulthard,COU,,MALE,1971-03-27,,Twynholm,united-kingdom,united-kingdom,
theo-helfrich,Theo Helfrich,Theo,Helfrich,Theodor Helfrich,HEL,,MALE,1913-05-13,1978-04-29,Frankfurt am Main,germany,germany,
charles-pozzi,Charles Pozzi,Charles,Pozzi,Charles Pozzi,POZ,,MALE,1909-08-27,2001-02-28,Paris,france,france,
johnny-cecotto,Johnny Cecotto,Johnny,Cecotto,Alberto Cecotto,CEC,,MALE,1956-01-25,,Caracas,venezuela,venezuela,
oliver-bearman,Oliver Bearman,Oliver,Bearman,Oliver James Bearman,BEA,,MALE,2005-05-08,,Havering,united-kingdom,united-kingdom,
roberto-lippi,Roberto Lippi,Roberto,Lippi,Roberto Lippi,LIP,,MALE,1926-10-17,2011-10-31,Rome,italy,italy,
danny-kladis,Danny Kladis,Danny,Kladis,Danny Kladis,KLA,,MALE,1917-02-10,2009-04-26,Crystal City,united-states-of-america,united-states-of-america,
toranosuke-takagi,Toranosuke Takagi,Toranosuke,Takagi,Toranosuke Takagi,TAK,,MALE,1974-02-12,,Shizuoka,japan,japan,
jean-eric-vergne,Jean-Éric Vergne,Jean-Éric,Vergne,Jean-Éric Vergne,VER,25,MALE,1990-04-25,,Pontoise,france,france,
satoshi-motoyama,Satoshi Motoyama,Satoshi,Motoyama,Satoshi Motoyama,MOT,,MALE,1971-03-04,,Tokyo,japan,japan,
erik-comas,Érik Comas,Érik,Comas,Érik Comas,COM,,MALE,1963-09-28,,Romans-sur-Isère,france,france,
duke-dinsmore,Duke Dinsmore,Duke,Dinsmore,J. Carlyle Dinsmore,DIN,,MALE,1913-04-10,1985-10-12,Williamstown,united-states-of-america,united-states-of-america,
tommy-byrne,Tommy Byrne,Tommy,Byrne,Thomas Byrne,BYR,,MALE,1958-05-06,,Dundalk,ireland,ireland,
gregor-foitek,Gregor Foitek,Gregor,Foitek,Gregor Foitek,FOI,,MALE,1965-03-27,,Zurich,switzerland,switzerland,
len-sutton,Len Sutton,Len,Sutton,Len Sutton,SUT,,MALE,1925-08-09,2006-12-04,Portland,united-states-of-america,united-states-of-america,
nico-hulkenberg,Nico Hülkenberg,Nico,Hülkenberg,Nicolas Hülkenberg,HUL,27,MALE,1987-08-19,,Emmerich am Rhein,germany,germany,
ken-wharton,Ken Wharton,Ken,Wharton,Ken Wharton,WHA,,MALE,1916-03-21,1957-01-12,Smethwick,united-kingdom,united-kingdom,
bruce-mclaren,Bruce McLaren,Bruce,McLaren,Bruce Leslie McLaren,MCL,,MALE,1937-08-30,1970-06-02,Auckland,new-zealand,new-zealand,
bill-mackey,Bill Mackey,Bill,Mackey,Bill Mackey,MAC,,MALE,1927-12-15,1951-07-29,Dayton,united-states-of-america,united-states-of-america,
george-amick,George Amick,George,Amick,George R. Amick,AMI,,MALE,1924-10-24,1959-04-04,Vernonia,united-states-of-america,united-states-of-america,
pat-oconnor,Pat O'Connor,Pat,O'Connor,Pat O'Connor,O'C,,MALE,1928-10-09,1958-05-30,North Vernon,united-states-of-america,united-states-of-america,
les-leston,Les Leston,Les,Leston,Alfred Lazarus Fingleston,LES,,MALE,1920-12-16,2012-05-13,Bulwell,united-kingdom,united-kingdom,
antonio-pizzonia,Antônio Pizzonia,Antônio,Pizzonia,Antônio Reginaldo Pizzonia Júnior,PIZ,,MALE,1980-09-11,,Manaus,brazil,brazil,
roger-loyer,Roger Loyer,Roger,Loyer,Roger Loyer,LOY,,MALE,1907-08-05,1988-03-24,Paris,france,france,
slim-borgudd,Slim Borgudd,Slim,Borgudd,Karl Edward Tommy Borgudd,BOR,,MALE,1946-11-25,2023-02-23,Borgholm,sweden,sweden,
rolf-stommelen,Rolf Stommelen,Rolf,Stommelen,Rolf Johann Stommelen,STO,,MALE,1943-07-11,1983-04-24,Siegen,germany,germany,
philippe-streiff,Philippe Streiff,Philippe,Streiff,Philippe Streiff,STR,,MALE,1955-06-26,2022-12-23,La Tronche,france,france,
richard-attwood,Richard Attwood,Richard,Attwood,Richard James David Attwood,ATT,,MALE,1940-04-04,,Wolverhampton,united-kingdom,united-kingdom,
david-kennedy,David Kennedy,David,Kennedy,David Kennedy,KEN,,MALE,1953-01-15,,Sligo,ireland,ireland,
bob-christie,Bob Christie,Bob,Christie,Bob Christie,CHR,,MALE,1924-04-04,2009-06-01,Grants Pass,united-states-of-america,united-states-of-america,
michael-andretti,Michael Andretti,Michael,Andretti,Michael Mario Andretti,AND,,MALE,1962-10-05,,Bethlehem,united-states-of-america,united-states-of-america,
henry-banks,Henry Banks,Henry,Banks,Henry Banks,BAN,,MALE,1913-06-14,1994-12-18,Croydon,united-kingdom,united-states-of-america,
leslie-thorne,Leslie Thorne,Leslie,Thorne,Leslie Thorne,THO,,MALE,1916-06-23,1993-07-13,Greenock,united-kingdom,united-kingdom,
peter-ashdown,Peter Ashdown,Peter,Ashdown,Peter Hawthorn Ashdown,ASH,,MALE,1934-10-16,,Danbury,united-kingdom,united-kingdom,
riccardo-patrese,Riccardo Patrese,Riccardo,Patrese,Riccardo Gabriele Patrese,PAT,,MALE,1954-04-17,,Padua,italy,italy,
gene-hartley,Gene Hartley,Gene,Hartley,Leslie Eugene Hartley,HAR,,MALE,1926-01-28,1994-03-13,Roanoke,united-states-of-america,united-states-of-america,
asdrubal-fontes-bayardo,Asdrúbal Fontes Bayardo,Asdrúbal,Fontes Bayardo,Asdrúbal Esteban Fontes Bayardo,FON,,MALE,1922-12-26,2006-07-09,Pan de Azúcar,uruguay,uruguay,
jean-marc-gounon,Jean-Marc Gounon,Jean-Marc,Gounon,Jean-Marc Gounon,GOU,,MALE,1963-01-01,,Aubenas,france,france,
eugenio-castellotti,Eugenio Castellotti,Eugenio,Castellotti,Eugenio Castellotti,CAS,,MALE,1930-10-10,1957-03-14,Lodi,italy,italy,
andre-pilette,André Pilette,André,Pilette,André Pilette,PIL,,MALE,1918-10-06,1993-12-27,Paris,france,belgium,
bruce-halford,Bruce Halford,Bruce,Halford,Bruce Halford,HAL,,MALE,1931-05-18,2001-12-02,Hampton in Arden,united-kingdom,united-kingdom,
francois-picard,François Picard,François,Picard,François Picard,PIC,,MALE,1921-04-26,1996-04-29,Villefranche-sur-Saône,france,france,
jan-charouz,Jan Charouz,Jan,Charouz,Jan Charouz,CHA,,MALE,1987-07-17,,Prague,czech-republic,czech-republic,
henry-taylor,Henry Taylor,Henry,Taylor,Henry Taylor,TAY,,MALE,1932-12-16,2013-10-24,Shefford,united-kingdom,united-kingdom,
rio-haryanto,Rio Haryanto,Rio,Haryanto,Rio Haryanto,HAR,,MALE,1993-01-22,,Surakarta,indonesia,indonesia,
frank-dochnal,Frank Dochnal,Frank,Dochnal,Frank J. Dochnal,DOC,,MALE,1920-10-08,2010-07-07,St. Louis,united-states-of-america,united-states-of-america,
bill-vukovich,Bill Vukovich,Bill,Vukovich,William John Vukovich,VUK,,MALE,1918-12-13,1955-05-30,Oakland,united-states-of-america,united-states-of-america,
