abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
NOR,united-kingdom,1999-11-13,,Lando,Lando Norris,MALE,lando-norris,Norris,Lando Norris,united-kingdom,4,Bristol,
RIB,brazil,1948-11-07,,Alex,Alexandre Dias Ribeiro,MALE,alex-ribeiro,Ribeiro,Alex Ribeiro,brazil,,Belo Horizonte,
WEI,united-states-of-america,1934-12-09,2005-10-13,Wayne,Wayne Weiler,MALE,wayne-weiler,Weiler,Wayne Weiler,united-states-of-america,,Phoenix,
RAT,austria,1960-07-04,1994-04-30,Roland,Roland Ratzenberger,MALE,roland-ratzenberger,Ratzenberger,Roland Ratzenberger,austria,,Salzburg,
BLU,united-kingdom,1966-04-08,,Mark,Mark Blundell,MALE,mark-blundell,Blundell,Mark Blundell,united-kingdom,,London,
IRV,united-kingdom,1965-11-10,,Eddie,Edmund Irvine Jr.,MALE,eddie-irvine,Irvine,Eddie Irvine,united-kingdom,,Newtownards,
SCA,italy,1921-10-02,1990-07-26,Giorgio,Giorgio Scarlatti,MALE,giorgio-scarlatti,Scarlatti,Giorgio Scarlatti,italy,,Rome,
KIN,finland,1943-08-05,2017-07-26,Leo,Leo Juhani Kinnunen,MALE,leo-kinnunen,Kinnunen,Leo Kinnunen,finland,,Tampere,
BRA,australia,1926-04-02,2014-05-19,Jack,Sir John Arthur Brabham,MALE,jack-brabham,Brabham,Jack Brabham,australia,,Hurstville,
SHA,united-states-of-america,1928-01-01,1993-05-07,Hap,James Sharp,MALE,hap-sharp,Sharp,Hap Sharp,united-states-of-america,,Tulsa,
SWA,belgium,1926-10-30,2010-12-10,Jacques,Jacques Swaters,MALE,jacques-swaters,Swaters,Jacques Swaters,belgium,,Brussels,
HAI,united-kingdom,1940-04-02,1981-03-23,Mike,Stanley Michael Bailey Hailwood,MALE,mike-hailwood,Hailwood,Mike Hailwood,united-kingdom,,Great Milton,
SCH,united-states-of-america,1909-03-06,1952-09-20,Bill,Bill Schindler,MALE,bill-schindler,Schindler,Bill Schindler,united-states-of-america,,Middletown,
JOV,spain,1903-11-23,1960-06-28,Juan,Juan Jover Sañes,MALE,juan-jover,Jover,Juan Jover,spain,,Barcelona,
QUE,austria,1939-05-30,,Dieter,Dieter Quester,MALE,dieter-quester,Quester,Dieter Quester,austria,,Vienna,
SCH,switzerland,1908-02-28,1986-07-05,Albert,Albert Scherrer,MALE,albert-scherrer,Scherrer,Albert Scherrer,switzerland,,Riehen,
DAP,argentina,1923-06-05,1963-03-09,Jorge,Jorge Alberto Daponte,MALE,jorge-daponte,Daponte,Jorge Daponte,argentina,,Buenos Aires,
PIA,australia,2001-04-06,,Oscar,Oscar Piastri,MALE,oscar-piastri,Piastri,Oscar Piastri,australia,81,Melbourne,
BAI,united-kingdom,1961-10-09,,Julian,Julian Bailey,MALE,julian-bailey,Bailey,Julian Bailey,united-kingdom,,Woolwich,
TRI,united-kingdom,1943-01-24,,Tony,Tony Trimmer,MALE,tony-trimmer,Trimmer,Tony Trimmer,united-kingdom,,Maidenhead,
SIF,switzerland,1936-07-07,1971-10-24,Jo,Joseph Siffert,MALE,jo-siffert,Siffert,Jo Siffert,switzerland,,Freiburg,
WEB,united-states-of-america,1910-10-08,1990-01-27,Spider,Travis Webb,MALE,spider-webb,Webb,Spider Webb,united-states-of-america,,Joplin,
ANT,italy,2006-08-25,,Andrea,Andrea Kimi Antonelli,MALE,andrea-kimi-antonelli,Antonelli,Andrea Kimi Antonelli,italy,,Bologna,
BAR,brazil,1972-05-23,,Rubens,Rubens Gonçalves Barrichello,MALE,rubens-barrichello,Barrichello,Rubens Barrichello,brazil,,São Paulo,
FAR,italy,1906-10-30,1966-06-30,Nino,Giuseppe Antonio Farina,MALE,nino-farina,Farina,Nino Farina,italy,,Turin,
SAT,japan,1977-01-28,,Takuma,Takuma Sato,MALE,takuma-sato,Sato,Takuma Sato,japan,,Tokyo,
GEN,belgium,1924-01-12,1998-10-02,Olivier,Olivier Gendebien,MALE,olivier-gendebien,Gendebien,Olivier Gendebien,belgium,,Brussels,
TUE,argentina,1978-04-22,,Esteban,Esteban Tuero,MALE,esteban-tuero,Tuero,Esteban Tuero,argentina,,Buenos Aires,
LAT,canada,1995-06-29,,Nicholas,Nicholas Latifi,MALE,nicholas-latifi,Latifi,Nicholas Latifi,canada,6,Montreal,
SPE,united-kingdom,1936-12-30,1968-05-07,Mike,Michael Henderson Spence,MALE,mike-spence,Spence,Mike Spence,united-kingdom,,Purley,
PER,switzerland,1932-02-01,2008-12-08,Xavier,Xavier Roger Perrot,MALE,xavier-perrot,Perrot,Xavier Perrot,switzerland,,Zurich,
FOT,united-kingdom,1907-09-22,1981-10-15,Philip,Philip Fotheringham-Parker,MALE,philip-fotheringham-parker,Fotheringham-Parker,Philip Fotheringham-Parker,united-kingdom,,Beckenham,
VAN,belgium,1961-09-30,,Eric,Eric van de Poele,MALE,eric-van-de-poele,Van de Poele,Eric van de Poele,belgium,,Verviers,
PAL,italy,1958-06-15,1982-06-13,Riccardo,Riccardo Paletti,MALE,riccardo-paletti,Paletti,Riccardo Paletti,italy,,Milan,
EDM,united-states-of-america,1930-09-23,2020-08-11,Don,Don Edmunds,MALE,don-edmunds,Edmunds,Don Edmunds,united-states-of-america,,Santa Ana,
AIT,united-kingdom,1995-09-23,,Jack,Jack Aitken,MALE,jack-aitken,Aitken,Jack Aitken,united-kingdom,89,London,
PRE,france,1982-04-05,,Alexandre,Alexandre Prémat,MALE,alexandre-premat,Prémat,Alexandre Prémat,france,,Juvisy-sur-Orge,
TAY,united-kingdom,1933-03-23,1966-09-08,John,John Malcolm Taylor,MALE,john-taylor,Taylor,John Taylor,united-kingdom,,Anstey,
BUE,brazil,1937-01-16,2011-02-08,Luiz,Luiz Pereira Bueno,MALE,luiz-bueno,Bueno,Luiz Bueno,brazil,,São Paulo,
TAY,united-kingdom,1936-12-26,2010-09-27,Trevor,Trevor Taylor,MALE,trevor-taylor,Taylor,Trevor Taylor,united-kingdom,,Sheffield,
VIL,canada,1950-01-18,1982-05-08,Gilles,Joseph Gilles Henri Villeneuve,MALE,gilles-villeneuve,Villeneuve,Gilles Villeneuve,canada,,Saint-Jean-sur-Richelieu,
JEA,france,1943-07-27,,Max,Max Jean,MALE,max-jean,Jean,Max Jean,france,,Marseille,
BRO,australia,1949-12-24,,Warwick,Warwick Brown,MALE,warwick-brown,Brown,Warwick Brown,australia,,Sydney,
CHA,united-kingdom,1936-10-27,2013-02-24,Dave,David William Charlton,MALE,dave-charlton,Charlton,Dave Charlton,south-africa,,Brotton,
BUT,united-kingdom,1980-01-19,,Jenson,Jenson Alexander Lyons Button,MALE,jenson-button,Button,Jenson Button,united-kingdom,,Frome,
MCW,united-states-of-america,1927-07-04,2009-02-01,Jim,Jim McWithey,MALE,jim-mcwithey,McWithey,Jim McWithey,united-states-of-america,,Grammer,
TAY,united-kingdom,1921-06-12,1962-06-02,Dennis,Dennis Taylor,MALE,dennis-taylor,Taylor,Dennis Taylor,united-kingdom,,Sidcup,
BAS,italy,1934-01-20,,Giorgio,Giorgio Bassi,MALE,giorgio-bassi,Bassi,Giorgio Bassi,italy,,Milan,
PAL,spain,1997-04-01,,Álex,Álex Palou Montalbo,MALE,alex-palou,Palou,Álex Palou,spain,,Sant Antoni de Vilamajor,
BRA,united-kingdom,1961-03-29,,Gary,Gary Brabham,MALE,gary-brabham,Brabham,Gary Brabham,australia,,Wimbledon,
VAL,italy,1987-01-24,,Davide,Davide Valsecchi,MALE,davide-valsecchi,Valsecchi,Davide Valsecchi,italy,,Eupilio,
COG,united-states-of-america,1956-03-31,,Kevin,John Cogan,MALE,kevin-cogan,Cogan,Kevin Cogan,united-states-of-america,,Culver City,
GOR,italy,1921-05-20,1995-01-28,Aldo,Aldo Gordini,MALE,aldo-gordini,Gordini,Aldo Gordini,france,,Bologna,
WHI,united-kingdom,1922-04-15,1981-01-15,Graham,Anthony Graham Whitehead,MALE,graham-whitehead,Whitehead,Graham Whitehead,united-kingdom,,Harrogate,
DET,switzerland,1918-10-06,1982-12-29,Max,Max de Terra,MALE,max-de-terra,De Terra,Max de Terra,switzerland,,Zurich,
PET,sweden,1944-02-14,1978-09-11,Ronnie,Bengt Ronnie Peterson,MALE,ronnie-peterson,Peterson,Ronnie Peterson,sweden,,Örebro,
EST,argentina,1932-11-18,1973-10-21,Nasif,Nasif Moisés Estéfano,MALE,nasif-estefano,Estéfano,Nasif Estéfano,argentina,,Concepción,
PIE,south-africa,1938-07-04,2017-11-01,Ernest,Ernest Pieterse,MALE,ernie-pieterse,Pieterse,Ernie Pieterse,south-africa,,Parow,
MAR,brazil,1976-01-19,,Tarso,Tarso Anibal Santanna Marques,MALE,tarso-marques,Marques,Tarso Marques,brazil,,Curitiba,
MER,spain,1991-03-22,,Roberto,Roberto Merhi Muntan,MALE,roberto-merhi,Merhi,Roberto Merhi,spain,98,Castellón de la Plana,
DOL,france,1944-04-26,1988-04-16,José,Louis José Lucien Dolhem,MALE,jose-dolhem,Dolhem,José Dolhem,france,,Paris,
WIL,united-states-of-america,1927-03-11,1971-04-23,Dempsey,Dempsey Cothrin Wilson,MALE,dempsey-wilson,Wilson,Dempsey Wilson,united-states-of-america,,Los Angeles,
CAB,italy,1923-02-19,1961-06-15,Giulio,Giulio Cabianca,MALE,giulio-cabianca,Cabianca,Giulio Cabianca,italy,,Verona,
NAS,brazil,1992-08-21,,Felipe,Luiz Felipe de Oliveira Nasr,MALE,felipe-nasr,Nasr,Felipe Nasr,brazil,12,Brasília,
GIB,united-kingdom,1918-04-16,2010-12-17,Dick,Richard Gibson,MALE,dick-gibson,Gibson,Dick Gibson,united-kingdom,,Bourne,
ASH,germany,1947-10-26,,Ian,Ian Hugh Gordon Ashley,MALE,ian-ashley,Ashley,Ian Ashley,united-kingdom,,Wuppertal,
MAN,france,1917-04-12,2015-01-19,Robert,Robert Manzon,MALE,robert-manzon,Manzon,Robert Manzon,france,,Marseille,
FRI,netherlands,1991-08-07,,Robin,Robin Frijns,MALE,robin-frijns,Frijns,Robin Frijns,netherlands,,Maastricht,
MIT,czech-republic,1935-08-30,1969-08-01,Gerhard,Gerhard Karl Mitter,MALE,gerhard-mitter,Mitter,Gerhard Mitter,germany,,Krásná Lípa,
DOW,united-kingdom,1917-12-05,2004-05-03,Ken,Kenneth Henry Downing,MALE,ken-downing,Downing,Ken Downing,united-kingdom,,Chesterton,
MAN,italy,1929-05-22,2001-02-23,Sergio,Sergio Mantovani,MALE,sergio-mantovani,Mantovani,Sergio Mantovani,italy,,Cusano Milanino,
SUZ,japan,1960-09-08,,Aguri,Aguri Suzuki,MALE,aguri-suzuki,Suzuki,Aguri Suzuki,japan,,Tokyo,
TIN,united-states-of-america,1928-04-04,1981-07-30,Bud,Bud Tingelstad,MALE,bud-tingelstad,Tingelstad,Bud Tingelstad,united-states-of-america,,Frazee,
CAL,united-kingdom,1989-06-13,,James,James John Calado,MALE,james-calado,Calado,James Calado,united-kingdom,,Cropthorne,
KEI,south-africa,1944-09-12,2016-05-21,Eddie,Eddie Keizan,MALE,eddie-keizan,Keizan,Eddie Keizan,south-africa,,Johannesburg,
HES,france,1956-12-30,,François,François Hesnault,MALE,francois-hesnault,Hesnault,François Hesnault,france,,Neuilly-sur-Seine,
COU,united-kingdom,1942-05-27,1970-06-21,Piers,Piers Raymond Courage,MALE,piers-courage,Courage,Piers Courage,united-kingdom,,Colchester,
PIE,germany,1911-06-20,2012-05-31,Paul,Paul Pietsch,MALE,paul-pietsch,Pietsch,Paul Pietsch,germany,,Freiburg im Breisgau,
WAT,united-kingdom,1946-05-04,,John,John Marshall Watson,MALE,john-watson,Watson,John Watson,united-kingdom,,Belfast,
LAF,france,1943-11-21,,Jacques,Jacques-Henri Laffite,MALE,jacques-laffite,Laffite,Jacques Laffite,france,,Paris,
PAR,united-kingdom,1932-06-25,,Tim,Reginald Harold Haslam Parnell,MALE,tim-parnell,Parnell,Tim Parnell,united-kingdom,,Derby,
SCO,united-kingdom,1927-05-13,1958-05-19,Archie,William Archibald Scott Brown,MALE,archie-scott-brown,Scott Brown,Archie Scott Brown,united-kingdom,,Paisley,
AMM,germany,1986-02-14,,Michael,Michael Ammermüller,MALE,michael-ammermuller,Ammermüller,Michael Ammermüller,germany,,Pocking,
SAR,france,1975-11-02,,Stéphane,Stéphane Jean-Marc Sarrazin,MALE,stephane-sarrazin,Sarrazin,Stéphane Sarrazin,france,,Barjac,
FRA,italy,1938-01-01,,Carlo,Carlo Franchi,MALE,carlo-franchi,Franchi,Carlo Franchi,italy,,Milan,
HAN,united-states-of-america,1914-07-13,1994-06-27,Sam,Sam Hanks,MALE,sam-hanks,Hanks,Sam Hanks,united-states-of-america,,Columbus,
MIG,france,1944-12-04,2012-01-29,François,François Migault,MALE,francois-migault,Migault,François Migault,france,,Le Mans,
HIR,switzerland,1910-03-30,1992-06-28,Peter,Peter Hirt,MALE,peter-hirt,Hirt,Peter Hirt,switzerland,,Lenzburg,
BOT,finland,1989-08-28,,Valtteri,Valtteri Bottas,MALE,valtteri-bottas,Bottas,Valtteri Bottas,finland,77,Nastola,
VES,denmark,2002-01-13,,Frederik,Frederik Vesti Stamm,MALE,frederik-vesti,Vesti,Frederik Vesti,denmark,,Langelund,
LUN,united-states-of-america,1945-11-14,,Brett,Robert Brett Lunger,MALE,brett-lunger,Lunger,Brett Lunger,united-states-of-america,,Wilmington,
SCH,germany,1964-07-20,,Bernd,Bernd Schneider,MALE,bernd-schneider,Schneider,Bernd Schneider,germany,,St. Ingbert,
PEN,united-states-of-america,1937-02-20,,Roger,Roger S. Penske,MALE,roger-penske,Penske,Roger Penske,united-states-of-america,,Shaker Heights,
DAS,france,1925-12-07,,Hermano,Hermano João da Silva Ramos,MALE,hermano-da-silva-ramos,Da Silva Ramos,Hermano da Silva Ramos,brazil,,Paris,
JAM,united-states-of-america,1925-05-23,1952-11-05,Joe,Joe James,MALE,joe-james,James,Joe James,united-states-of-america,,Saucier,
STU,poland,1900-12-27,1978-02-09,Hans,Hans Stuck,MALE,hans-stuck,Stuck,Hans Stuck,germany,,Warsaw,
BRI,united-kingdom,1952-03-28,1975-11-29,Tony,Anthony William Brise,MALE,tony-brise,Brise,Tony Brise,united-kingdom,,Erith,
SOL,mexico,1935-12-26,1969-07-27,Moisés,Moisés Solana Arciniega,MALE,moises-solana,Solana,Moisés Solana,mexico,,Mexico City,
MON,italy,1964-05-30,,Andrea,Andrea Montermini,MALE,andrea-montermini,Montermini,Andrea Montermini,italy,,Sassuolo,
API,italy,1965-10-07,,Marco,Marco Apicella,MALE,marco-apicella,Apicella,Marco Apicella,italy,,near Bologna,
RAZ,brazil,1989-04-04,,Luiz,Luiz Tadeu Razia Filho,MALE,luiz-razia,Razia,Luiz Razia,brazil,,Barreiras,
GAR,united-states-of-america,1933-04-24,1999-02-15,Billy,Billy Garrett,MALE,billy-garrett,Garrett,Billy Garrett,united-states-of-america,,Princeton,
SAL,chile,1954-11-14,,Eliseo,Eliseo Salazar Valenzuela,MALE,eliseo-salazar,Salazar,Eliseo Salazar,chile,,Santiago,
SUR,switzerland,1951-09-18,,Marc,Marc Surer,MALE,marc-surer,Surer,Marc Surer,switzerland,,Arisdorf,
BRA,united-kingdom,1965-09-05,,David,David Brabham,MALE,david-brabham,Brabham,David Brabham,australia,,London,
CRO,united-states-of-america,1918-01-24,2005-04-15,Art,Art Cross,MALE,art-cross,Cross,Art Cross,united-states-of-america,,Jersey City,
KUH,germany,1910-04-30,1969-02-08,Kurt,Kurt Kuhnke,MALE,kurt-kuhnke,Kuhnke,Kurt Kuhnke,germany,,Stettin,
MON,portugal,1976-07-24,,Tiago,Tiago da Costa Monteiro,MALE,tiago-monteiro,Monteiro,Tiago Monteiro,portugal,,Porto,
BAR,germany,1968-03-08,,Michael,Michael Bartels,MALE,michael-bartels,Bartels,Michael Bartels,germany,,Plettenberg,
PAR,united-kingdom,1911-07-02,1964-01-07,Reg,Reginald Parnell,MALE,reg-parnell,Parnell,Reg Parnell,united-kingdom,,Derby,
LEC,monaco,1997-10-16,,Charles,Charles Leclerc,MALE,charles-leclerc,Leclerc,Charles Leclerc,monaco,16,Monte Carlo,
RIN,germany,1942-04-18,1970-09-05,Jochen,Karl Jochen Rindt,MALE,jochen-rindt,Rindt,Jochen Rindt,austria,,Mainz,
THA,new-zealand,1961-03-30,,Mike,Mike Thackwell,MALE,mike-thackwell,Thackwell,Mike Thackwell,new-zealand,,Papakura,
GAR,australia,1931-10-01,2009-08-29,Frank,Frank Gardner,MALE,frank-gardner,Gardner,Frank Gardner,australia,,Sydney,
MSC,germany,1969-01-03,,Michael,Michael Schumacher,MALE,michael-schumacher,Schumacher,Michael Schumacher,germany,,Hürth,
KEE,united-kingdom,1955-02-26,2024-09-23,Rupert,Rupert Keegan,MALE,rupert-keegan,Keegan,Rupert Keegan,united-kingdom,,Westcliff-on-Sea,
URI,uruguay,1924-07-11,1988-12-04,Alberto,Alberto Uria,MALE,alberto-uria,Uria,Alberto Uria,uruguay,,Montevideo,
SHE,united-states-of-america,1923-01-11,2012-05-10,Carroll,Carroll Hall Shelby,MALE,carroll-shelby,Shelby,Carroll Shelby,united-states-of-america,,Leesburg,
SOU,united-kingdom,1952-02-19,,Stephen,Stephen South,MALE,stephen-south,South,Stephen South,united-kingdom,,Harrow,
VET,germany,1987-07-03,,Sebastian,Sebastian Vettel,MALE,sebastian-vettel,Vettel,Sebastian Vettel,germany,5,Heppenheim,
HUT,united-states-of-america,1937-04-26,,Gus,Gus Hutchison,MALE,gus-hutchison,Hutchison,Gus Hutchison,united-states-of-america,,Atlanta,
CHA,united-states-of-america,1925-12-29,2001-08-01,Jay,Jay Chamberlain,MALE,jay-chamberlain,Chamberlain,Jay Chamberlain,united-states-of-america,,Los Angeles,
MON,united-kingdom,1915-06-23,2007-04-03,Robin,Robert Victor Campbell Montgomerie,MALE,robin-montgomerie-charrington,Montgomerie-Charrington,Robin Montgomerie-Charrington,united-kingdom,,London,
SPA,france,1930-06-16,2012-09-21,Mike,Michel Poberejsky,MALE,mike-sparken,Sparken,Mike Sparken,france,,Neuilly-sur-Seine,
RIC,australia,1989-07-01,,Daniel,Daniel Ricciardo,MALE,daniel-ricciardo,Ricciardo,Daniel Ricciardo,australia,3,Perth,
LEE,united-kingdom,1951-05-01,,Geoffrey,Geoffrey Lees,MALE,geoff-lees,Lees,Geoff Lees,united-kingdom,,Kingsbury,
HAM,united-kingdom,1917-12-29,1990-08-25,David,David Alan Hampshire,MALE,david-hampshire,Hampshire,David Hampshire,united-kingdom,,Mickleover,
ULM,germany,1906-01-25,1976-11-04,Toni,Anton Ulmen,MALE,toni-ulmen,Ulmen,Toni Ulmen,germany,,Düsseldorf,
NAT,italy,1935-07-28,,Massimo,Massimo Natili,MALE,massimo-natili,Natili,Massimo Natili,italy,,Ronciglione,
BER,france,1964-08-24,,Éric,Éric Bernard,MALE,eric-bernard,Bernard,Éric Bernard,france,,Martigues,
HIL,united-kingdom,1960-09-17,,Damon,Damon Graham Devereux Hill,MALE,damon-hill,Hill,Damon Hill,united-kingdom,,Hampstead,
ROD,argentina,1934-01-14,1977-03-11,Alberto,Alberto Rodriguez Larreta,MALE,alberto-rodriguez-larreta,Rodriguez Larreta,Alberto Rodriguez Larreta,argentina,,Buenos Aires,
MAG,italy,1928-06-05,1999-02-07,Umberto,Umberto Maglioli,MALE,umberto-maglioli,Maglioli,Umberto Maglioli,italy,,Bioglio,
VOL,switzerland,1917-12-07,2003-03-10,Ottorino,Ottorino Volonterio,MALE,ottorino-volonterio,Volonterio,Ottorino Volonterio,switzerland,,Orselina,
ALO,spain,1981-07-29,,Fernando,Fernando Alonso Díaz,MALE,fernando-alonso,Alonso,Fernando Alonso,spain,14,Oviedo,
CHI,monaco,1899-08-03,1979-06-22,Louis,Louis Alexandre Chiron,MALE,louis-chiron,Chiron,Louis Chiron,monaco,,Monte Carlo,
GAR,austria,1954-01-24,1986-06-01,Jo,Josef Gartner,MALE,jo-gartner,Gartner,Jo Gartner,austria,,Vienna,
SCO,united-states-of-america,1928-10-04,1954-07-05,Bob,Bob Scott,MALE,bob-scott,Scott,Bob Scott,united-states-of-america,,Watsonville,
BLA,united-states-of-america,1929-06-13,1960-01-31,Harry,Harry Cutler Blanchard,MALE,harry-blanchard,Blanchard,Harry Blanchard,united-states-of-america,,Burlington,
