id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
mike-beuttler,Mike Beuttler,Mike,Beuttler,Michael Simon Brindley Bream Beuttler,BEU,,MALE,1940-04-13,1988-12-29,Cairo,egypt,united-kingdom,
peter-broeker,Peter Broeker,Peter,Broeker,Peter Broeker,BRO,,MALE,1926-05-15,1980-11-04,Hamilton,canada,canada,
michele-alboreto,Michele Alboreto,Michele,Alboreto,Michele Alboreto,ALB,,MALE,1956-12-23,2001-04-25,Milan,italy,italy,
robert-kubica,Robert Kubica,Robert,Kubica,Robert Józef Kubica,KUB,88,MALE,1984-12-07,,Kraków,poland,poland,
emmanuel-de-graffenried,Emmanuel de Graffenried,Emmanuel,De Graffenried,Emmanuel de Graffenried,DEG,,MALE,1914-05-18,2007-01-22,Paris,france,switzerland,
andy-sutcliffe,Andy Sutcliffe,Andy,Sutcliffe,Andy Sutcliffe,SUT,,MALE,1947-05-09,2015-07-13,Mildenhall,united-kingdom,united-kingdom,
basil-van-rooyen,Basil van Rooyen,Basil,Van Rooyen,Basil van Rooyen,VAN,,MALE,1939-04-19,2023-09-14,Johannesburg,south-africa,south-africa,
gianfranco-brancatelli,Gianfranco Brancatelli,Gianfranco,Brancatelli,Gianfranco Brancatelli,BRA,,MALE,1950-01-18,,Turin,italy,italy,
shorty-templeman,Shorty Templeman,Shorty,Templeman,Clark Thomas Templeman,TEM,,MALE,1919-08-12,1962-08-24,Pueblo,united-states-of-america,united-states-of-america,
elmer-george,Elmer George,Elmer,George,Elmer George,GEO,,MALE,1928-07-05,1976-05-31,Hockerville,united-states-of-america,united-states-of-america,
pete-lovely,Pete Lovely,Pete,Lovely,Gerard Carlton Lovely,LOV,,MALE,1926-04-11,2011-05-15,Livingston,united-states-of-america,united-states-of-america,
kazuki-nakajima,Kazuki Nakajima,Kazuki,Nakajima,Kazuki Nakajima,NAK,,MALE,1985-01-11,,Okazaki,japan,japan,
sam-posey,Sam Posey,Sam,Posey,Sam Posey,POS,,MALE,1944-05-26,,New York City,united-states-of-america,united-states-of-america,
guy-tunmer,Guy Tunmer,Guy,Tunmer,Percival Guy Tunmer,TUN,,MALE,1948-12-01,1999-06-22,Ficksburg,south-africa,south-africa,
divina-galica,Divina Galica,Divina,Galica,Divina Mary Galica,GAL,,FEMALE,1944-08-13,,Bushey Heath,united-kingdom,united-kingdom,
masten-gregory,Masten Gregory,Masten,Gregory,Masten Gregory,GRE,,MALE,1932-02-29,1985-11-08,Kansas City,united-states-of-america,united-states-of-america,
david-purley,David Purley,David,Purley,David Charles Purley,PUR,,MALE,1945-01-26,1985-07-02,Bognor Regis,united-kingdom,united-kingdom,
graham-hill,Graham Hill,Graham,Hill,Norman Graham Hill,HIL,,MALE,1929-02-15,1975-11-29,Hampstead,united-kingdom,united-kingdom,
gerard-larrousse,Gérard Larrousse,Gérard,Larrousse,Gérard Larrousse,LAR,,MALE,1940-05-23,,Lyon,france,france,
mike-taylor,Mike Taylor,Mike,Taylor,Mike Taylor,TAY,,MALE,1934-04-24,2017-04-04,London,united-kingdom,united-kingdom,
theo-pourchaire,Théo Pourchaire,Théo,Pourchaire,Théo Jérôme Julien Pourchaire,POU,,MALE,2003-08-20,,Grasse,france,france,
dave-morgan,Dave Morgan,Dave,Morgan,Dave Morgan,MOR,,MALE,1944-08-07,2018-11-06,Cranmore,united-kingdom,united-kingdom,
bob-anderson,Bob Anderson,Bob,Anderson,Robert Hugh Fearon Anderson,AND,,MALE,1931-05-19,1967-08-14,Hendon,united-kingdom,united-kingdom,
rudolf-schoeller,Rudolf Schoeller,Rudolf,Schoeller,Rudolf Schoeller,SCH,,MALE,1902-04-27,1978-03-07,Düren,germany,switzerland,
george-connor,George Connor,George,Connor,George Connor,CON,,MALE,1906-08-16,2001-03-28,Rialto,united-states-of-america,united-states-of-america,
walt-brown,Walt Brown,Walt,Brown,Walt Brown,BRO,,MALE,1910-12-30,1951-07-29,Springfield,united-states-of-america,united-states-of-america,
alan-stacey,Alan Stacey,Alan,Stacey,Alan Stacey,STA,,MALE,1933-08-29,1960-06-19,Broomfield,united-kingdom,united-kingdom,
thierry-boutsen,Thierry Boutsen,Thierry,Boutsen,Thierry Marc Boutsen,BOU,,MALE,1957-07-13,,Brussels,belgium,belgium,
ludovico-scarfiotti,Ludovico Scarfiotti,Ludovico,Scarfiotti,Ludovico Scarfiotti,SCA,,MALE,1933-10-18,1968-06-08,Turin,italy,italy,
derek-bell,Derek Bell,Derek,Bell,Derek Reginald Bell,BEL,,MALE,1941-10-31,,Pinner,united-kingdom,united-kingdom,
cuth-harrison,Cuth Harrison,Cuth,Harrison,Thomas Cuthbert Harrison,HAR,,MALE,1906-07-06,1981-01-21,Ecclesall,united-states-of-america,united-kingdom,
harald-ertl,Harald Ertl,Harald,Ertl,Harald Ertl,ERT,,MALE,1948-08-31,1982-04-07,Zell am See,austria,austria,
william-ferguson,William Ferguson,William,Ferguson,William Ferguson,FER,,MALE,1940-03-06,2007-05-19,Johannesburg,south-africa,south-africa,
carlos-sainz-jr,Carlos Sainz Jr.,Carlos,Sainz Jr.,Carlos Sainz Vázquez de Castro,SAI,55,MALE,1994-09-01,,Madrid,spain,spain,
bernie-ecclestone,Bernie Ecclestone,Bernie,Ecclestone,Bernard Charles Ecclestone,ECC,,MALE,1930-10-28,,St Peter South Elmham,united-kingdom,united-kingdom,
jan-flinterman,Jan Flinterman,Jan,Flinterman,Johannes Leonardus Flinterman,FLI,,MALE,1919-10-02,1992-12-26,The Hague,netherlands,netherlands,
sam-tingle,Sam Tingle,Sam,Tingle,Samuel Tingle,TIN,,MALE,1921-08-24,2008-12-19,Manchester,united-kingdom,zimbabwe,
patrick-neve,Patrick Nève,Patrick,Nève,Patrick Marie Ghislain Pierre Simon Stanislas Nève de Mévergnies,NEV,,MALE,1949-10-13,2017-03-12,Liège,belgium,belgium,
jean-lucas,Jean Lucas,Jean,Lucas,Jean Lucas,LUC,,MALE,1917-04-25,2003-09-27,Le Mans,france,france,
roger-williamson,Roger Williamson,Roger,Williamson,Roger Williamson,WIL,,MALE,1948-02-02,1973-07-29,Ashby-de-la-Zouch,united-kingdom,united-kingdom,
hans-binder,Hans Binder,Hans,Binder,Hans Binder,BIN,,MALE,1948-06-12,,Zell am Ziller,austria,austria,
rodolfo-gonzalez,Rodolfo González,Rodolfo,González,Rodolfo González,GON,,MALE,1986-05-14,,Caracas,venezuela,venezuela,
manfred-winkelhock,Manfred Winkelhock,Manfred,Winkelhock,Manfred Winkelhock,WIN,,MALE,1951-10-06,1985-08-12,Waiblingen,germany,germany,
hideki-noda,Hideki Noda,Hideki,Noda,Hideki Noda,NOD,,MALE,1969-03-07,,Osaka,japan,japan,
gaetano-starrabba,Gaetano Starrabba,Gaetano,Starrabba,Prince Gaetano Starrabba di Giardinelli,STA,,MALE,1932-12-03,,Palermo,italy,italy,
pedro-lamy,Pedro Lamy,Pedro,Lamy,José Pedro Mourão Lamy Viçoso,LAM,,MALE,1972-03-20,,Aldeia Galega da Merceana,portugal,portugal,
bruno-senna,Bruno Senna,Bruno,Senna,Bruno Senna Lalli,SEN,,MALE,1983-10-15,,São Paulo,brazil,brazil,
dorino-serafini,Dorino Serafini,Dorino,Serafini,Teodoro Serafini,SER,,MALE,1909-07-22,2000-07-05,Pesaro,italy,italy,
peter-arundell,Peter Arundell,Peter,Arundell,Peter Arundell,ARU,,MALE,1933-11-08,2009-06-16,Ilford,united-kingdom,united-kingdom,
olivier-beretta,Olivier Beretta,Olivier,Beretta,Olivier Beretta,BER,,MALE,1969-11-23,,Monte Carlo,monaco,monaco,
paddy-driver,Paddy Driver,Paddy,Driver,Paddy Driver,DRI,,MALE,1934-05-13,,Johannesburg,south-africa,south-africa,
lloyd-ruby,Lloyd Ruby,Lloyd,Ruby,Lloyd Ruby,RUB,,MALE,1928-01-12,2009-03-23,Wichita Falls,united-states-of-america,united-states-of-america,
anthony-joseph-foyt,Anthony Joseph Foyt,Anthony Joseph,Foyt,Anthony Joseph Foyt,FOY,,MALE,1935-01-16,,Houston,united-states-of-america,united-states-of-america,
taki-inoue,Taki Inoue,Taki,Inoue,Takachiho Inoue,INO,,MALE,1963-09-05,,Kobe,japan,japan,
theo-fitzau,Theo Fitzau,Theo,Fitzau,Theodor Fitzau,FIT,,MALE,1923-02-10,1982-03-18,Köthen,germany,germany,
harry-merkel,Harry Merkel,Harry,Merkel,Harry Erich Merkel,MER,,MALE,1918-01-10,1995-02-11,Taucha,germany,germany,
alain-de-changy,Alain de Changy,Alain,De Changy,Alain Carpentier de Changy,DEC,,MALE,1922-02-05,1994-08-05,Brussels,belgium,belgium,
brian-gubby,Brian Gubby,Brian,Gubby,Brian Gubby,GUB,,MALE,1934-04-17,,Epsom,united-kingdom,united-kingdom,
christophe-bouchut,Christophe Bouchut,Christophe,Bouchut,Christophe Bouchut,BOU,,MALE,1966-09-24,,Voiron,france,france,
rudi-fischer,Rudi Fischer,Rudi,Fischer,Rudolf Fischer,FIS,,MALE,1912-04-19,1976-12-30,Stuttgart,germany,switzerland,
roberto-moreno,Roberto Moreno,Roberto,Moreno,Roberto Pupo Moreno,MOR,,MALE,1959-02-11,,Rio de Janeiro,brazil,brazil,
brendon-hartley,Brendon Hartley,Brendon,Hartley,Brendon Hartley,HAR,28,MALE,1989-11-10,,Palmerston North,new-zealand,new-zealand,
jackie-lewis,Jackie Lewis,Jackie,Lewis,Jackie Lewis,LEW,,MALE,1936-11-01,,Stroud,united-kingdom,united-kingdom,
