abbreviation,countryOfBirthCountryId,dateOfBirth,dateOfDeath,firstName,fullName,gender,id,lastName,name,nationalityCountryId,permanentNumber,placeOfBirth,secondNationalityCountryId
JOH,united-kingdom,1912-03-22,1959-06-08,Leslie,Leslie George Johnson,MALE,leslie-johnson,Johnson,Leslie Johnson,united-kingdom,,Walthamstow,
NAS,italy,1968-02-24,,Emanuele,Emanuele Naspetti,MALE,emanuele-naspetti,Naspetti,Emanuele Naspetti,italy,,Ancona,
CRO,united-kingdom,1921-05-11,2002-01-07,Geoffrey,Geoffrey Crossley,MALE,geoffrey-crossley,Crossley,Geoffrey Crossley,united-kingdom,,Baslow,
ARM,united-states-of-america,1918-10-12,1992-11-28,Frank,Frank Armi,MALE,frank-armi,Armi,Frank Armi,united-states-of-america,,Portland,
SEI,germany,1937-10-18,2020-11-11,Günther,Günther Seiffert,MALE,gunther-seiffert,Seiffert,Günther Seiffert,germany,,Oldenburg,
YOO,malaysia,1976-07-20,,Alex,Alexander Charles Yoong Loong,MALE,alex-yoong,Yoong,Alex Yoong,malaysia,,Kuala Lumpur,
ROB,united-kingdom,1944-09-22,,Richard,Richard Robarts,MALE,richard-robarts,Robarts,Richard Robarts,united-kingdom,,Bicknacre,
MCR,new-zealand,1940-03-05,2021-08-04,Graham,Graham McRae,MALE,graham-mcrae,McRae,Graham McRae,new-zealand,,Wellington,
BAR,united-kingdom,1929-07-22,2015-02-04,John,John David Barber,MALE,john-barber,Barber,John Barber,united-kingdom,,Little Marlow,
DAM,brazil,1973-09-19,,Cristiano,Cristiano Monteiro da Matta,MALE,cristiano-da-matta,Da Matta,Cristiano da Matta,brazil,,Belo Horizonte,
BAR,germany,1917-01-26,1965-05-20,Edgar,Edgar Barth,MALE,edgar-barth,Barth,Edgar Barth,germany,,Herold,
BAG,italy,1934-12-25,1995-11-27,Giancarlo,Giancarlo Baghetti,MALE,giancarlo-baghetti,Baghetti,Giancarlo Baghetti,italy,,Milan,
VON,switzerland,1942-05-31,,Jo,Joseph Vonlanthen,MALE,jo-vonlanthen,Vonlanthen,Jo Vonlanthen,switzerland,,St. Ursen,
GHI,italy,1952-01-16,,Piercarlo,Piercarlo Ghinzani,MALE,piercarlo-ghinzani,Ghinzani,Piercarlo Ghinzani,italy,,Riviera d'Adda,
GRE,united-states-of-america,1919-09-30,1951-07-29,Cecil,Cecil Green,MALE,cecil-green,Green,Cecil Green,united-states-of-america,,Dallas,
CLA,united-kingdom,1916-08-11,1956-02-03,Johnny,Octave John Claes,MALE,johnny-claes,Claes,Johnny Claes,belgium,,Fulham,
UNS,united-states-of-america,1932-11-15,1959-05-17,Jerry,Jeremy Michael Unser Jr.,MALE,jerry-unser-jr,Unser Jr.,Jerry Unser Jr.,united-states-of-america,,Colorado Springs,
JAC,united-states-of-america,1910-07-25,1984-11-25,Jimmy,Jimmy Jackson,MALE,jimmy-jackson,Jackson,Jimmy Jackson,united-states-of-america,,Indianapolis,
BOT,south-africa,1930-01-16,2006-10-01,Luki,Lukas Botha,MALE,luki-botha,Botha,Luki Botha,south-africa,,Pretoria,
BRA,united-kingdom,1920-07-18,1982-08-08,Eric,Eric Brandon,MALE,eric-brandon,Brandon,Eric Brandon,united-kingdom,,East Ham,
GIO,italy,1993-12-14,,Antonio,Antonio Giovinazzi,MALE,antonio-giovinazzi,Giovinazzi,Antonio Giovinazzi,italy,99,Martina Franca,
SCH,france,1921-06-29,1960-05-13,Harry,Henry O'Reilly Schell,MALE,harry-schell,Schell,Harry Schell,united-states-of-america,,Paris,
AND,united-states-of-america,1920-06-15,1957-05-15,Keith,Keith Andrews,MALE,keith-andrews,Andrews,Keith Andrews,united-states-of-america,,Denver,
BER,italy,1964-09-19,,Enrico,Enrico Bertaggia,MALE,enrico-bertaggia,Bertaggia,Enrico Bertaggia,italy,,Noale,
WIE,netherlands,1938-05-28,2020-06-10,Egbert,Egbert Wietzes,MALE,eppie-wietzes,Wietzes,Eppie Wietzes,canada,,Assen,
MIL,united-states-of-america,1902-07-19,1953-05-15,Chet,Chet Miller,MALE,chet-miller,Miller,Chet Miller,united-states-of-america,,Detroit,
PIA,argentina,1912-10-21,1990-07-25,Alfredo,Alfredo Pián,MALE,alfredo-pian,Pián,Alfredo Pián,argentina,,Las Rosas,
PAR,united-states-of-america,1918-07-04,1984-09-08,Johnnie,Johnnie Woodrow Parsons,MALE,johnnie-parsons,Parsons,Johnnie Parsons,united-states-of-america,,Los Angeles,
GRO,switzerland,1986-04-17,,Romain,Romain Grosjean,MALE,romain-grosjean,Grosjean,Romain Grosjean,france,8,Geneva,switzerland
COL,italy,1946-02-23,2024-01-07,Alberto,Alberto Colombo,MALE,alberto-colombo,Colombo,Alberto Colombo,italy,,Varedo,
KRA,germany,1907-03-30,1987-04-11,Rudolf,Rudolf Krause,MALE,rudolf-krause,Krause,Rudolf Krause,germany,,Reichenbach im Vogtland,
TAK,japan,1940-01-29,2022-03-16,Kunimitsu,Kunimitsu Takahashi,MALE,kunimitsu-takahashi,Takahashi,Kunimitsu Takahashi,japan,,Tokyo,
KEL,ireland,1913-03-13,1993-11-28,Joe,Joe Kelly,MALE,joe-kelly,Kelly,Joe Kelly,ireland,,Dublin,
OSU,united-kingdom,2005-02-06,,Zak,Zak O'Sullivan,MALE,zak-osullivan,O'Sullivan,Zak O'Sullivan,united-kingdom,,Cheltenham,
PER,australia,1950-03-18,,Larry,Larry Clifton Perkins,MALE,larry-perkins,Perkins,Larry Perkins,australia,,Murrayville,
WIR,sweden,1980-04-04,,Björn,Björn Karl Michael Wirdheim,MALE,bjorn-wirdheim,Wirdheim,Björn Wirdheim,sweden,,Växjö,
SOS,italy,1966-10-09,,Vincenzo,Vincenzo Sospiri,MALE,vincenzo-sospiri,Sospiri,Vincenzo Sospiri,italy,,Forlì,
O'B,united-states-of-america,1908-04-11,1987-02-10,Robert,Robert O'Brien,MALE,robert-obrien,O'Brien,Robert O'Brien,united-states-of-america,,Lyndhurst,
WIL,united-kingdom,1931-04-14,2001-01-14,Vic,Vic Wilson,MALE,vic-wilson,Wilson,Vic Wilson,united-kingdom,,Drypool,
BRA,united-states-of-america,1920-06-02,1966-11-12,Don,Donald L. Branson,MALE,don-branson,Branson,Don Branson,united-states-of-america,,Rantoul,
GOL,united-states-of-america,1925-10-02,,Paul,Paul Goldsmith,MALE,paul-goldsmith,Goldsmith,Paul Goldsmith,united-states-of-america,,Parkersburg,
OWE,united-kingdom,1915-03-23,2002-04-27,Arthur,Arthur Owen,MALE,arthur-owen,Owen,Arthur Owen,united-kingdom,,London,
SPE,united-states-of-america,1983-01-24,,Scott,Scott Andrew Speed,MALE,scott-speed,Speed,Scott Speed,united-states-of-america,,Manteca,
KLE,germany,1919-10-28,2009-03-24,Hans,Hans Klenk,MALE,hans-klenk,Klenk,Hans Klenk,germany,,Künzelsau,
THO,united-kingdom,1919-11-04,2015-08-22,Eric,Eric Thompson,MALE,eric-thompson,Thompson,Eric Thompson,united-kingdom,,Ditton Hill,
ENG,ireland,1976-09-11,,Tomáš,Tomáš Enge,MALE,tomas-enge,Enge,Tomáš Enge,czech-republic,,Liberec,
NUC,united-kingdom,1929-06-26,2000-06-29,Rodney,Rodney Nuckey,MALE,rodney-nuckey,Nuckey,Rodney Nuckey,united-kingdom,,Wood Green,
DON,united-kingdom,1964-03-26,,Martin,Hugh Peter Martin Donnelly,MALE,martin-donnelly,Donnelly,Martin Donnelly,united-kingdom,,Belfast,
CAP,italy,1963-05-24,,Ivan,Ivan Franco Capelli,MALE,ivan-capelli,Capelli,Ivan Capelli,italy,,Milan,
LON,colombia,1949-08-08,2009-07-18,Ricardo,Ricardo Londoño-Bridge,MALE,ricardo-londono,Londoño,Ricardo Londoño,colombia,,Medellín,
FIT,brazil,1946-12-12,,Emerson,Emerson Fittipaldi,MALE,emerson-fittipaldi,Fittipaldi,Emerson Fittipaldi,brazil,,São Paulo,
ICK,belgium,1945-01-01,,Jacky,Jacques Bernard Ickx,MALE,jacky-ickx,Ickx,Jacky Ickx,belgium,,Brussels,
DUM,united-kingdom,1958-04-26,2021-03-22,Johnny,John Colum Crichton-Stuart,MALE,johnny-dumfries,Dumfries,Johnny Dumfries,united-kingdom,,Rothesay,
HOF,brazil,1953-02-28,,Ingo,Ingo Hoffmann,MALE,ingo-hoffmann,Hoffmann,Ingo Hoffmann,brazil,,São Paulo,
VIS,venezuela,1985-03-19,,Ernesto,Ernesto José Viso Lossada,MALE,ernesto-viso,Viso,Ernesto Viso,venezuela,,Caracas,
ERI,sweden,1990-09-02,,Marcus,Marcus Ericsson,MALE,marcus-ericsson,Ericsson,Marcus Ericsson,sweden,,Kumla,
KOB,japan,1986-09-13,,Kamui,Kamui Kobayashi,MALE,kamui-kobayashi,Kobayashi,Kamui Kobayashi,japan,,Amagasaki,
DAL,ireland,1953-03-11,,Derek,Derek Daly,MALE,derek-daly,Daly,Derek Daly,ireland,,Ballinteer,
THO,united-states-of-america,1922-04-09,1960-09-24,Johnny,Johnny Thomson,MALE,johnny-thomson,Thomson,Johnny Thomson,united-states-of-america,,Lowell,
TES,france,1926-04-13,2005-09-24,André,André Testut,MALE,andre-testut,Testut,André Testut,monaco,,Lyon,
NEL,denmark,1944-04-19,,Jac,Jacob Nellemann,MALE,jac-nellemann,Nellemann,Jac Nellemann,denmark,,Copenhagen,
HOL,united-states-of-america,1920-09-04,1995-03-01,Jackie,Jackie Holmes,MALE,jackie-holmes,Holmes,Jackie Holmes,united-states-of-america,,Indianapolis,
HAS,japan,1945-11-13,,Masahiro,Masahiro Hasemi,MALE,masahiro-hasemi,Hasemi,Masahiro Hasemi,japan,,Tokyo,
BOE,brazil,1957-12-04,,Raul,Raul de Mesquita Boesel,MALE,raul-boesel,Boesel,Raul Boesel,brazil,,Curitiba,
HEL,united-states-of-america,1915-09-14,1951-11-11,Mack,Ronald Hellings,MALE,mack-hellings,Hellings,Mack Hellings,united-states-of-america,,Fort Dodge,
FOR,switzerland,1958-09-22,,Franco,Franco Forini,MALE,franco-forini,Forini,Franco Forini,switzerland,,Muralto,
LEO,italy,1953-05-24,,Lamberto,Lamberto Leoni,MALE,lamberto-leoni,Leoni,Lamberto Leoni,italy,,Argenta,
ROS,sweden,1948-12-06,,Keke,Keijo Erik Rosberg,MALE,keke-rosberg,Rosberg,Keke Rosberg,finland,,Solna,
GEL,indonesia,1996-11-01,,Sean,Muhammad Sean Ricardo Gelael,MALE,sean-gelael,Gelael,Sean Gelael,indonesia,,Jakarta,
BUR,united-kingdom,1930-07-06,2012-05-19,Ian,Ian Burgess,MALE,ian-burgess,Burgess,Ian Burgess,united-kingdom,,London,
OWA,mexico,1999-05-06,,Patricio,Patricio O'Ward Junco,MALE,patricio-oward,O'Ward,Patricio O'Ward,mexico,,Monterrey,
CHA,france,1907-04-12,1983-12-28,Eugène,Marius Eugène Chaboud,MALE,eugene-chaboud,Chaboud,Eugène Chaboud,france,,Lyon,
MAS,brazil,1981-04-25,,Felipe,Felipe Massa,MALE,felipe-massa,Massa,Felipe Massa,brazil,19,São Paulo,
MAG,denmark,1973-07-04,,Jan,Jan Ellegaard Magnussen,MALE,jan-magnussen,Magnussen,Jan Magnussen,denmark,,Roskilde,
DEF,italy,1926-11-11,2016-01-08,Maria Teresa,Maria Teresa de Filippis,FEMALE,maria-teresa-de-filippis,De Filippis,Maria Teresa de Filippis,italy,,Naples,
SUL,united-states-of-america,1950-03-09,,Danny,Daniel John Sullivan III,MALE,danny-sullivan,Sullivan,Danny Sullivan,united-states-of-america,,Louisville,
GRI,france,1905-07-25,1977-12-07,Georges,Auguste Georges Paul Grignard,MALE,georges-grignard,Grignard,Georges Grignard,france,,Villeneuve-Saint-Georges,
HOS,japan,1947-07-01,,Kazuyoshi,Kazuyoshi Hoshino,MALE,kazuyoshi-hoshino,Hoshino,Kazuyoshi Hoshino,japan,,Shizuoka,
BIR,thailand,1914-07-15,1985-12-23,Birabongse,Prince Birabongse Bhanudej Bhanubandh,MALE,birabongse-bhanudej,Bhanudej,Birabongse Bhanudej,thailand,,Grand Palace,
COL,united-kingdom,1931-11-06,1958-08-03,Peter,Peter John Collins,MALE,peter-collins,Collins,Peter Collins,united-kingdom,,Kidderminster,
BIR,argentina,1924-01-07,1966-03-09,Pablo,Pablo Birger,MALE,pablo-birger,Birger,Pablo Birger,argentina,,Buenos Aires,
CAM,united-kingdom,1930-01-21,2020-03-24,John,Michael John Churchill Campbell-Jones,MALE,john-campbell-jones,Campbell-Jones,John Campbell-Jones,united-kingdom,,Leatherhead,
BUC,argentina,1920-09-04,2011-01-12,Clemar,Clemar Bucci,MALE,clemar-bucci,Bucci,Clemar Bucci,argentina,,Zenón Pereyra,
HAW,australia,1937-10-12,1969-05-26,Paul,Robert Paul Hawkins,MALE,paul-hawkins,Hawkins,Paul Hawkins,australia,,Richmond,
GER,italy,1928-08-10,2013-04-17,Gerino,Gerino Gerini,MALE,gerino-gerini,Gerini,Gerino Gerini,italy,,Rome,
LOV,zimbabwe,1924-12-07,2005-04-25,John,John Maxwell Lineham Love,MALE,john-love,Love,John Love,zimbabwe,,Bulawayo,
KRA,germany,1911-12-04,1995-04-26,Willi,Willi Krakau,MALE,willi-krakau,Krakau,Willi Krakau,germany,,Felgeleben,
STE,united-kingdom,1929-07-15,,Ian,Ian Macpherson M. Stewart,MALE,ian-stewart,Stewart,Ian Stewart,united-kingdom,,Edinburgh,
EVA,united-kingdom,1947-06-11,,Bob,Robert Evans,MALE,bob-evans,Evans,Bob Evans,united-kingdom,,Waddington,
CAR,italy,1921-03-06,1957-05-30,Piero,Piero Carini,MALE,piero-carini,Carini,Piero Carini,italy,,Genoa,
CRE,spain,1924-10-28,1996-02-19,Antonio,Antonio Creus Rubín de Celis,MALE,antonio-creus,Creus,Antonio Creus,spain,,Madrid,
LEI,switzerland,1989-04-17,,Fabio,Fabio Leimer,MALE,fabio-leimer,Leimer,Fabio Leimer,switzerland,,Rothrist,
HAM,united-kingdom,1985-01-07,,Lewis,Lewis Carl Davidson Hamilton,MALE,lewis-hamilton,Hamilton,Lewis Hamilton,united-kingdom,44,Stevenage,
CAN,united-states-of-america,1908-01-31,1996-01-22,William,William Cantrell,MALE,bill-cantrell,Cantrell,Bill Cantrell,united-states-of-america,,West Point,
CHI,italy,1964-05-06,,Andrea,Andrea Chiesa,MALE,andrea-chiesa,Chiesa,Andrea Chiesa,switzerland,,Milan,
REB,mexico,1956-02-05,,Héctor,Héctor Alonso Rebaque,MALE,hector-rebaque,Rebaque,Héctor Rebaque,mexico,,Mexico City,
LOM,italy,1941-03-26,1992-03-03,Lella,Maria Grazia Lombardi,FEMALE,lella-lombardi,Lombardi,Lella Lombardi,italy,,Frugarolo,
ALL,united-kingdom,1932-02-08,2005-04-07,Cliff,Henry Clifford Allison,MALE,cliff-allison,Allison,Cliff Allison,united-kingdom,,Brough,
ADE,united-states-of-america,1913-12-15,1982-11-25,Walt,Walt Ader,MALE,walt-ader,Ader,Walt Ader,united-states-of-america,,Long Valley,
KAR,germany,1917-03-06,2009-01-28,Oswald,Oswald Karch,MALE,oswald-karch,Karch,Oswald Karch,germany,,Ludwigshafen,
JAN,switzerland,1983-12-08,,Neel,Neel Jani,MALE,neel-jani,Jani,Neel Jani,switzerland,,Rorschach,
GAL,italy,1940-10-02,2019-10-12,Nanni,Giovanni Giuseppe Gilberto Galli,MALE,nanni-galli,Galli,Nanni Galli,italy,,Bologna,
NIS,hungary,1963-07-29,,Chanoch,Chanoch Nissany,MALE,chanoch-nissany,Nissany,Chanoch Nissany,israel,,Budapest,
PIR,italy,1962-01-12,,Emanuele,Emanuele Pirro,MALE,emanuele-pirro,Pirro,Emanuele Pirro,italy,,Rome,
BUR,brazil,1975-03-05,,Luciano,Luciano Pucci Burti,MALE,luciano-burti,Burti,Luciano Burti,brazil,,São Paulo,
DAL,france,1961-07-28,,Yannick,Yannick Dalmas,MALE,yannick-dalmas,Dalmas,Yannick Dalmas,france,,Le Beausset,
SCH,argentina,1923-06-28,2012-02-10,Adolfo,Adolfo Julio Carlos Schwelm Cruz,MALE,adolfo-schwelm-cruz,Schwelm Cruz,Adolfo Schwelm Cruz,argentina,,Buenos Aires,
CHD,india,1984-01-19,,Karun,Karun Chandhok,MALE,karun-chandhok,Chandhok,Karun Chandhok,india,,Madras,
WHI,united-kingdom,1909-04-01,1957-07-14,Bill,Bill Whitehouse,MALE,bill-whitehouse,Whitehouse,Bill Whitehouse,united-kingdom,,London,
FLA,united-states-of-america,1926-01-06,2002-04-09,Pat,"George Francis Flaherty, Jr.",MALE,pat-flaherty,Flaherty,Pat Flaherty,united-states-of-america,,Glendale,
SER,france,1942-01-18,2006-05-29,Johnny,Georges-Francis Servoz-Gavin,MALE,johnny-servoz-gavin,Servoz-Gavin,Johnny Servoz-Gavin,france,,Grenoble,
FAG,italy,1898-06-09,1952-06-20,Luigi,Luigi Cristiano Fagioli,MALE,luigi-fagioli,Fagioli,Luigi Fagioli,italy,,Osimo,
MAG,denmark,1992-10-05,,Kevin,Kevin Jan Magnussen,MALE,kevin-magnussen,Magnussen,Kevin Magnussen,denmark,20,Roskilde,
PER,mexico,1990-01-26,,Sergio,Sergio Pérez Mendoza,MALE,sergio-perez,Pérez,Sergio Pérez,mexico,11,Guadalajara,
MUN,italy,1928-04-02,2009-11-22,Gino,Gino Munaron,MALE,gino-munaron,Munaron,Gino Munaron,italy,,Turin,
PAC,brazil,1944-10-06,1977-03-18,Carlos,José Carlos Pace,MALE,carlos-pace,Pace,Carlos Pace,brazil,,São Paulo,
BEC,germany,1921-12-21,2011-05-03,Karl-Günther,Karl-Günther Bechem,MALE,karl-gunther-bechem,Bechem,Karl-Günther Bechem,germany,,Hagen,
HAH,germany,1935-03-28,2019-04-24,Hubert,Hubert Hahne,MALE,hubert-hahne,Hahne,Hubert Hahne,germany,,Moers,
POO,united-kingdom,1916-08-19,1987-02-12,Dennis,Roger Dennistoun Poore,MALE,dennis-poore,Poore,Dennis Poore,united-kingdom,,London,
HEE,germany,1922-02-13,1996-08-13,Willi,Willi Heeks,MALE,willi-heeks,Heeks,Willi Heeks,germany,,Moorlage,
