id,name,firstName,lastName,fullName,abbreviation,permanentNumber,gender,dateOfBirth,dateOfDeath,placeOfBirth,countryOfBirthCountryId,nationalityCountryId,secondNationalityCountryId
jean-alesi,Jean Alesi,Jean,Alesi,Giovanni Alesi,ALE,,MALE,1964-06-11,,Avignon,france,france,
volker-weidler,Volker Weidler,Volker,Weidler,Volker Weidler,WEI,,MALE,1962-03-18,,Heidelberg,germany,germany,
heini-walter,Heini Walter,Heini,Walter,Heini Walter,WAL,,MALE,1927-07-28,2009-05-12,Alpthal,switzerland,switzerland,
george-constantine,George Constantine,George,Constantine,George J. Constantine,CON,,MALE,1918-02-22,1968-01-07,Southbridge,united-states-of-america,united-states-of-america,
brian-mcguire,Brian McGuire,Brian,McGuire,Brian McGuire,MCG,,MALE,1945-12-13,1977-08-29,East Melbourne,australia,australia,
gerhard-berger,Gerhard Berger,Gerhard,Berger,Gerhard Berger,BER,,MALE,1959-08-27,,Wörgl,austria,austria,
paul-belmondo,Paul Belmondo,Paul,Belmondo,Paul Alexandre Belmondo,BEL,,MALE,1963-04-23,,Boulogne-Billancourt,france,france,
chris-irwin,Chris Irwin,Chris,Irwin,Chris Irwin,IRW,,MALE,1942-06-27,,London,united-kingdom,united-kingdom,
sebastien-buemi,Sébastien Buemi,Sébastien,Buemi,Sébastien Olivier Buemi,BUE,,MALE,1988-10-31,,Aigle,switzerland,switzerland,
chris-amon,Chris Amon,Chris,Amon,Christopher Arthur Amon,AMO,,MALE,1943-07-20,2016-08-03,Bulls,new-zealand,new-zealand,
nello-pagani,Nello Pagani,Nello,Pagani,Cirillo Pagani,PAG,,MALE,1911-10-11,2003-10-19,Milan,italy,italy,
john-cannon,John Cannon,John,Cannon,John Cannon,CAN,,MALE,1933-06-21,1999-10-18,London,united-kingdom,canada,
james-hunt,James Hunt,James,Hunt,James Simon Wallis Hunt,HUN,,MALE,1947-08-29,1993-06-15,Belmont,united-kingdom,united-kingdom,
mick-schumacher,Mick Schumacher,Mick,Schumacher,Mick Schumacher,MSC,47,MALE,1999-03-22,,Vufflens-le-Château,switzerland,germany,
ivor-bueb,Ivor Bueb,Ivor,Bueb,Ivor Léon John Bueb,BUE,,MALE,1923-06-06,1959-08-01,East Ham,united-kingdom,united-kingdom,
al-herman,Al Herman,Al,Herman,Al Herman,HER,,MALE,1926-03-15,1960-06-18,Topton,united-states-of-america,united-states-of-america,
tom-bridger,Tom Bridger,Tom,Bridger,Thomas Bridger,BRI,,MALE,1934-06-24,1991-07-30,Woolmer Green,united-kingdom,united-kingdom,
peter-ryan,Peter Ryan,Peter,Ryan,Peter B. Ryan,RYA,,MALE,1940-06-10,1962-07-02,Philadelphia,united-states-of-america,canada,
robin-widdows,Robin Widdows,Robin,Widdows,Robin Michael Widdows,WID,,MALE,1942-05-27,,Cowley,united-kingdom,united-kingdom,
john-miles,John Miles,John,Miles,John Miles,MIL,,MALE,1943-06-14,2018-04-08,London,united-kingdom,united-kingdom,
lando-norris,Lando Norris,Lando,Norris,Lando Norris,NOR,4,MALE,1999-11-13,,Bristol,united-kingdom,united-kingdom,
alex-ribeiro,Alex Ribeiro,Alex,Ribeiro,Alexandre Dias Ribeiro,RIB,,MALE,1948-11-07,,Belo Horizonte,brazil,brazil,
wayne-weiler,Wayne Weiler,Wayne,Weiler,Wayne Weiler,WEI,,MALE,1934-12-09,2005-10-13,Phoenix,united-states-of-america,united-states-of-america,
roland-ratzenberger,Roland Ratzenberger,Roland,Ratzenberger,Roland Ratzenberger,RAT,,MALE,1960-07-04,1994-04-30,Salzburg,austria,austria,
mark-blundell,Mark Blundell,Mark,Blundell,Mark Blundell,BLU,,MALE,1966-04-08,,London,united-kingdom,united-kingdom,
eddie-irvine,Eddie Irvine,Eddie,Irvine,Edmund Irvine Jr.,IRV,,MALE,1965-11-10,,Newtownards,united-kingdom,united-kingdom,
giorgio-scarlatti,Giorgio Scarlatti,Giorgio,Scarlatti,Giorgio Scarlatti,SCA,,MALE,1921-10-02,1990-07-26,Rome,italy,italy,
leo-kinnunen,Leo Kinnunen,Leo,Kinnunen,Leo Juhani Kinnunen,KIN,,MALE,1943-08-05,2017-07-26,Tampere,finland,finland,
jack-brabham,Jack Brabham,Jack,Brabham,Sir John Arthur Brabham,BRA,,MALE,1926-04-02,2014-05-19,Hurstville,australia,australia,
hap-sharp,Hap Sharp,Hap,Sharp,James Sharp,SHA,,MALE,1928-01-01,1993-05-07,Tulsa,united-states-of-america,united-states-of-america,
jacques-swaters,Jacques Swaters,Jacques,Swaters,Jacques Swaters,SWA,,MALE,1926-10-30,2010-12-10,Brussels,belgium,belgium,
mike-hailwood,Mike Hailwood,Mike,Hailwood,Stanley Michael Bailey Hailwood,HAI,,MALE,1940-04-02,1981-03-23,Great Milton,united-kingdom,united-kingdom,
bill-schindler,Bill Schindler,Bill,Schindler,Bill Schindler,SCH,,MALE,1909-03-06,1952-09-20,Middletown,united-states-of-america,united-states-of-america,
juan-jover,Juan Jover,Juan,Jover,Juan Jover Sañes,JOV,,MALE,1903-11-23,1960-06-28,Barcelona,spain,spain,
dieter-quester,Dieter Quester,Dieter,Quester,Dieter Quester,QUE,,MALE,1939-05-30,,Vienna,austria,austria,
albert-scherrer,Albert Scherrer,Albert,Scherrer,Albert Scherrer,SCH,,MALE,1908-02-28,1986-07-05,Riehen,switzerland,switzerland,
jorge-daponte,Jorge Daponte,Jorge,Daponte,Jorge Alberto Daponte,DAP,,MALE,1923-06-05,1963-03-09,Buenos Aires,argentina,argentina,
oscar-piastri,Oscar Piastri,Oscar,Piastri,Oscar Piastri,PIA,81,MALE,2001-04-06,,Melbourne,australia,australia,
julian-bailey,Julian Bailey,Julian,Bailey,Julian Bailey,BAI,,MALE,1961-10-09,,Woolwich,united-kingdom,united-kingdom,
tony-trimmer,Tony Trimmer,Tony,Trimmer,Tony Trimmer,TRI,,MALE,1943-01-24,,Maidenhead,united-kingdom,united-kingdom,
jo-siffert,Jo Siffert,Jo,Siffert,Joseph Siffert,SIF,,MALE,1936-07-07,1971-10-24,Freiburg,switzerland,switzerland,
spider-webb,Spider Webb,Spider,Webb,Travis Webb,WEB,,MALE,1910-10-08,1990-01-27,Joplin,united-states-of-america,united-states-of-america,
andrea-kimi-antonelli,Andrea Kimi Antonelli,Andrea,Antonelli,Andrea Kimi Antonelli,ANT,,MALE,2006-08-25,,Bologna,italy,italy,
rubens-barrichello,Rubens Barrichello,Rubens,Barrichello,Rubens Gonçalves Barrichello,BAR,,MALE,1972-05-23,,São Paulo,brazil,brazil,
nino-farina,Nino Farina,Nino,Farina,Giuseppe Antonio Farina,FAR,,MALE,1906-10-30,1966-06-30,Turin,italy,italy,
takuma-sato,Takuma Sato,Takuma,Sato,Takuma Sato,SAT,,MALE,1977-01-28,,Tokyo,japan,japan,
olivier-gendebien,Olivier Gendebien,Olivier,Gendebien,Olivier Gendebien,GEN,,MALE,1924-01-12,1998-10-02,Brussels,belgium,belgium,
esteban-tuero,Esteban Tuero,Esteban,Tuero,Esteban Tuero,TUE,,MALE,1978-04-22,,Buenos Aires,argentina,argentina,
nicholas-latifi,Nicholas Latifi,Nicholas,Latifi,Nicholas Latifi,LAT,6,MALE,1995-06-29,,Montreal,canada,canada,
mike-spence,Mike Spence,Mike,Spence,Michael Henderson Spence,SPE,,MALE,1936-12-30,1968-05-07,Purley,united-kingdom,united-kingdom,
xavier-perrot,Xavier Perrot,Xavier,Perrot,Xavier Roger Perrot,PER,,MALE,1932-02-01,2008-12-08,Zurich,switzerland,switzerland,
philip-fotheringham-parker,Philip Fotheringham-Parker,Philip,Fotheringham-Parker,Philip Fotheringham-Parker,FOT,,MALE,1907-09-22,1981-10-15,Beckenham,united-kingdom,united-kingdom,
eric-van-de-poele,Eric van de Poele,Eric,Van de Poele,Eric van de Poele,VAN,,MALE,1961-09-30,,Verviers,belgium,belgium,
riccardo-paletti,Riccardo Paletti,Riccardo,Paletti,Riccardo Paletti,PAL,,MALE,1958-06-15,1982-06-13,Milan,italy,italy,
don-edmunds,Don Edmunds,Don,Edmunds,Don Edmunds,EDM,,MALE,1930-09-23,2020-08-11,Santa Ana,united-states-of-america,united-states-of-america,
jack-aitken,Jack Aitken,Jack,Aitken,Jack Aitken,AIT,89,MALE,1995-09-23,,London,united-kingdom,united-kingdom,
alexandre-premat,Alexandre Prémat,Alexandre,Prémat,Alexandre Prémat,PRE,,MALE,1982-04-05,,Juvisy-sur-Orge,france,france,
john-taylor,John Taylor,John,Taylor,John Malcolm Taylor,TAY,,MALE,1933-03-23,1966-09-08,Anstey,united-kingdom,united-kingdom,
luiz-bueno,Luiz Bueno,Luiz,Bueno,Luiz Pereira Bueno,BUE,,MALE,1937-01-16,2011-02-08,São Paulo,brazil,brazil,
trevor-taylor,Trevor Taylor,Trevor,Taylor,Trevor Taylor,TAY,,MALE,1936-12-26,2010-09-27,Sheffield,united-kingdom,united-kingdom,
gilles-villeneuve,Gilles Villeneuve,Gilles,Villeneuve,Joseph Gilles Henri Villeneuve,VIL,,MALE,1950-01-18,1982-05-08,Saint-Jean-sur-Richelieu,canada,canada,
max-jean,Max Jean,Max,Jean,Max Jean,JEA,,MALE,1943-07-27,,Marseille,france,france,
warwick-brown,Warwick Brown,Warwick,Brown,Warwick Brown,BRO,,MALE,1949-12-24,,Sydney,australia,australia,
dave-charlton,Dave Charlton,Dave,Charlton,David William Charlton,CHA,,MALE,1936-10-27,2013-02-24,Brotton,united-kingdom,south-africa,
jenson-button,Jenson Button,Jenson,Button,Jenson Alexander Lyons Button,BUT,,MALE,1980-01-19,,Frome,united-kingdom,united-kingdom,
jim-mcwithey,Jim McWithey,Jim,McWithey,Jim McWithey,MCW,,MALE,1927-07-04,2009-02-01,Grammer,united-states-of-america,united-states-of-america,
dennis-taylor,Dennis Taylor,Dennis,Taylor,Dennis Taylor,TAY,,MALE,1921-06-12,1962-06-02,Sidcup,united-kingdom,united-kingdom,
giorgio-bassi,Giorgio Bassi,Giorgio,Bassi,Giorgio Bassi,BAS,,MALE,1934-01-20,,Milan,italy,italy,
alex-palou,Álex Palou,Álex,Palou,Álex Palou Montalbo,PAL,,MALE,1997-04-01,,Sant Antoni de Vilamajor,spain,spain,
gary-brabham,Gary Brabham,Gary,Brabham,Gary Brabham,BRA,,MALE,1961-03-29,,Wimbledon,united-kingdom,australia,
davide-valsecchi,Davide Valsecchi,Davide,Valsecchi,Davide Valsecchi,VAL,,MALE,1987-01-24,,Eupilio,italy,italy,
kevin-cogan,Kevin Cogan,Kevin,Cogan,John Cogan,COG,,MALE,1956-03-31,,Culver City,united-states-of-america,united-states-of-america,
aldo-gordini,Aldo Gordini,Aldo,Gordini,Aldo Gordini,GOR,,MALE,1921-05-20,1995-01-28,Bologna,italy,france,
graham-whitehead,Graham Whitehead,Graham,Whitehead,Anthony Graham Whitehead,WHI,,MALE,1922-04-15,1981-01-15,Harrogate,united-kingdom,united-kingdom,
max-de-terra,Max de Terra,Max,De Terra,Max de Terra,DET,,MALE,1918-10-06,1982-12-29,Zurich,switzerland,switzerland,
ronnie-peterson,Ronnie Peterson,Ronnie,Peterson,Bengt Ronnie Peterson,PET,,MALE,1944-02-14,1978-09-11,Örebro,sweden,sweden,
nasif-estefano,Nasif Estéfano,Nasif,Estéfano,Nasif Moisés Estéfano,EST,,MALE,1932-11-18,1973-10-21,Concepción,argentina,argentina,
ernie-pieterse,Ernie Pieterse,Ernest,Pieterse,Ernest Pieterse,PIE,,MALE,1938-07-04,2017-11-01,Parow,south-africa,south-africa,
tarso-marques,Tarso Marques,Tarso,Marques,Tarso Anibal Santanna Marques,MAR,,MALE,1976-01-19,,Curitiba,brazil,brazil,
roberto-merhi,Roberto Merhi,Roberto,Merhi,Roberto Merhi Muntan,MER,98,MALE,1991-03-22,,Castellón de la Plana,spain,spain,
jose-dolhem,José Dolhem,José,Dolhem,Louis José Lucien Dolhem,DOL,,MALE,1944-04-26,1988-04-16,Paris,france,france,
dempsey-wilson,Dempsey Wilson,Dempsey,Wilson,Dempsey Cothrin Wilson,WIL,,MALE,1927-03-11,1971-04-23,Los Angeles,united-states-of-america,united-states-of-america,
giulio-cabianca,Giulio Cabianca,Giulio,Cabianca,Giulio Cabianca,CAB,,MALE,1923-02-19,1961-06-15,Verona,italy,italy,
felipe-nasr,Felipe Nasr,Felipe,Nasr,Luiz Felipe de Oliveira Nasr,NAS,12,MALE,1992-08-21,,Brasília,brazil,brazil,
dick-gibson,Dick Gibson,Dick,Gibson,Richard Gibson,GIB,,MALE,1918-04-16,2010-12-17,Bourne,united-kingdom,united-kingdom,
ian-ashley,Ian Ashley,Ian,Ashley,Ian Hugh Gordon Ashley,ASH,,MALE,1947-10-26,,Wuppertal,germany,united-kingdom,
robert-manzon,Robert Manzon,Robert,Manzon,Robert Manzon,MAN,,MALE,1917-04-12,2015-01-19,Marseille,france,france,
robin-frijns,Robin Frijns,Robin,Frijns,Robin Frijns,FRI,,MALE,1991-08-07,,Maastricht,netherlands,netherlands,
gerhard-mitter,Gerhard Mitter,Gerhard,Mitter,Gerhard Karl Mitter,MIT,,MALE,1935-08-30,1969-08-01,Krásná Lípa,czech-republic,germany,
ken-downing,Ken Downing,Ken,Downing,Kenneth Henry Downing,DOW,,MALE,1917-12-05,2004-05-03,Chesterton,united-kingdom,united-kingdom,
sergio-mantovani,Sergio Mantovani,Sergio,Mantovani,Sergio Mantovani,MAN,,MALE,1929-05-22,2001-02-23,Cusano Milanino,italy,italy,
aguri-suzuki,Aguri Suzuki,Aguri,Suzuki,Aguri Suzuki,SUZ,,MALE,1960-09-08,,Tokyo,japan,japan,
bud-tingelstad,Bud Tingelstad,Bud,Tingelstad,Bud Tingelstad,TIN,,MALE,1928-04-04,1981-07-30,Frazee,united-states-of-america,united-states-of-america,
james-calado,James Calado,James,Calado,James John Calado,CAL,,MALE,1989-06-13,,Cropthorne,united-kingdom,united-kingdom,
eddie-keizan,Eddie Keizan,Eddie,Keizan,Eddie Keizan,KEI,,MALE,1944-09-12,2016-05-21,Johannesburg,south-africa,south-africa,
francois-hesnault,François Hesnault,François,Hesnault,François Hesnault,HES,,MALE,1956-12-30,,Neuilly-sur-Seine,france,france,
piers-courage,Piers Courage,Piers,Courage,Piers Raymond Courage,COU,,MALE,1942-05-27,1970-06-21,Colchester,united-kingdom,united-kingdom,
paul-pietsch,Paul Pietsch,Paul,Pietsch,Paul Pietsch,PIE,,MALE,1911-06-20,2012-05-31,Freiburg im Breisgau,germany,germany,
john-watson,John Watson,John,Watson,John Marshall Watson,WAT,,MALE,1946-05-04,,Belfast,united-kingdom,united-kingdom,
jacques-laffite,Jacques Laffite,Jacques,Laffite,Jacques-Henri Laffite,LAF,,MALE,1943-11-21,,Paris,france,france,
tim-parnell,Tim Parnell,Tim,Parnell,Reginald Harold Haslam Parnell,PAR,,MALE,1932-06-25,,Derby,united-kingdom,united-kingdom,
archie-scott-brown,Archie Scott Brown,Archie,Scott Brown,William Archibald Scott Brown,SCO,,MALE,1927-05-13,1958-05-19,Paisley,united-kingdom,united-kingdom,
michael-ammermuller,Michael Ammermüller,Michael,Ammermüller,Michael Ammermüller,AMM,,MALE,1986-02-14,,Pocking,germany,germany,
stephane-sarrazin,Stéphane Sarrazin,Stéphane,Sarrazin,Stéphane Jean-Marc Sarrazin,SAR,,MALE,1975-11-02,,Barjac,france,france,
carlo-franchi,Carlo Franchi,Carlo,Franchi,Carlo Franchi,FRA,,MALE,1938-01-01,,Milan,italy,italy,
sam-hanks,Sam Hanks,Sam,Hanks,Sam Hanks,HAN,,MALE,1914-07-13,1994-06-27,Columbus,united-states-of-america,united-states-of-america,
francois-migault,François Migault,François,Migault,François Migault,MIG,,MALE,1944-12-04,2012-01-29,Le Mans,france,france,
peter-hirt,Peter Hirt,Peter,Hirt,Peter Hirt,HIR,,MALE,1910-03-30,1992-06-28,Lenzburg,switzerland,switzerland,
valtteri-bottas,Valtteri Bottas,Valtteri,Bottas,Valtteri Bottas,BOT,77,MALE,1989-08-28,,Nastola,finland,finland,
frederik-vesti,Frederik Vesti,Frederik,Vesti,Frederik Vesti Stamm,VES,,MALE,2002-01-13,,Langelund,denmark,denmark,
brett-lunger,Brett Lunger,Brett,Lunger,Robert Brett Lunger,LUN,,MALE,1945-11-14,,Wilmington,united-states-of-america,united-states-of-america,
bernd-schneider,Bernd Schneider,Bernd,Schneider,Bernd Schneider,SCH,,MALE,1964-07-20,,St. Ingbert,germany,germany,
roger-penske,Roger Penske,Roger,Penske,Roger S. Penske,PEN,,MALE,1937-02-20,,Shaker Heights,united-states-of-america,united-states-of-america,
hermano-da-silva-ramos,Hermano da Silva Ramos,Hermano,Da Silva Ramos,Hermano João da Silva Ramos,DAS,,MALE,1925-12-07,,Paris,france,brazil,
joe-james,Joe James,Joe,James,Joe James,JAM,,MALE,1925-05-23,1952-11-05,Saucier,united-states-of-america,united-states-of-america,
hans-stuck,Hans Stuck,Hans,Stuck,Hans Stuck,STU,,MALE,1900-12-27,1978-02-09,Warsaw,poland,germany,
tony-brise,Tony Brise,Tony,Brise,Anthony William Brise,BRI,,MALE,1952-03-28,1975-11-29,Erith,united-kingdom,united-kingdom,
moises-solana,Moisés Solana,Moisés,Solana,Moisés Solana Arciniega,SOL,,MALE,1935-12-26,1969-07-27,Mexico City,mexico,mexico,
andrea-montermini,Andrea Montermini,Andrea,Montermini,Andrea Montermini,MON,,MALE,1964-05-30,,Sassuolo,italy,italy,
marco-apicella,Marco Apicella,Marco,Apicella,Marco Apicella,API,,MALE,1965-10-07,,near Bologna,italy,italy,
luiz-razia,Luiz Razia,Luiz,Razia,Luiz Tadeu Razia Filho,RAZ,,MALE,1989-04-04,,Barreiras,brazil,brazil,
billy-garrett,Billy Garrett,Billy,Garrett,Billy Garrett,GAR,,MALE,1933-04-24,1999-02-15,Princeton,united-states-of-america,united-states-of-america,
eliseo-salazar,Eliseo Salazar,Eliseo,Salazar,Eliseo Salazar Valenzuela,SAL,,MALE,1954-11-14,,Santiago,chile,chile,
marc-surer,Marc Surer,Marc,Surer,Marc Surer,SUR,,MALE,1951-09-18,,Arisdorf,switzerland,switzerland,
david-brabham,David Brabham,David,Brabham,David Brabham,BRA,,MALE,1965-09-05,,London,united-kingdom,australia,
art-cross,Art Cross,Art,Cross,Art Cross,CRO,,MALE,1918-01-24,2005-04-15,Jersey City,united-states-of-america,united-states-of-america,
kurt-kuhnke,Kurt Kuhnke,Kurt,Kuhnke,Kurt Kuhnke,KUH,,MALE,1910-04-30,1969-02-08,Stettin,germany,germany,
tiago-monteiro,Tiago Monteiro,Tiago,Monteiro,Tiago da Costa Monteiro,MON,,MALE,1976-07-24,,Porto,portugal,portugal,
michael-bartels,Michael Bartels,Michael,Bartels,Michael Bartels,BAR,,MALE,1968-03-08,,Plettenberg,germany,germany,
reg-parnell,Reg Parnell,Reg,Parnell,Reginald Parnell,PAR,,MALE,1911-07-02,1964-01-07,Derby,united-kingdom,united-kingdom,
charles-leclerc,Charles Leclerc,Charles,Leclerc,Charles Leclerc,LEC,16,MALE,1997-10-16,,Monte Carlo,monaco,monaco,
jochen-rindt,Jochen Rindt,Jochen,Rindt,Karl Jochen Rindt,RIN,,MALE,1942-04-18,1970-09-05,Mainz,germany,austria,
mike-thackwell,Mike Thackwell,Mike,Thackwell,Mike Thackwell,THA,,MALE,1961-03-30,,Papakura,new-zealand,new-zealand,
frank-gardner,Frank Gardner,Frank,Gardner,Frank Gardner,GAR,,MALE,1931-10-01,2009-08-29,Sydney,australia,australia,
michael-schumacher,Michael Schumacher,Michael,Schumacher,Michael Schumacher,MSC,,MALE,1969-01-03,,Hürth,germany,germany,
rupert-keegan,Rupert Keegan,Rupert,Keegan,Rupert Keegan,KEE,,MALE,1955-02-26,2024-09-23,Westcliff-on-Sea,united-kingdom,united-kingdom,
alberto-uria,Alberto Uria,Alberto,Uria,Alberto Uria,URI,,MALE,1924-07-11,1988-12-04,Montevideo,uruguay,uruguay,
carroll-shelby,Carroll Shelby,Carroll,Shelby,Carroll Hall Shelby,SHE,,MALE,1923-01-11,2012-05-10,Leesburg,united-states-of-america,united-states-of-america,
stephen-south,Stephen South,Stephen,South,Stephen South,SOU,,MALE,1952-02-19,,Harrow,united-kingdom,united-kingdom,
sebastian-vettel,Sebastian Vettel,Sebastian,Vettel,Sebastian Vettel,VET,5,MALE,1987-07-03,,Heppenheim,germany,germany,
gus-hutchison,Gus Hutchison,Gus,Hutchison,Gus Hutchison,HUT,,MALE,1937-04-26,,Atlanta,united-states-of-america,united-states-of-america,
jay-chamberlain,Jay Chamberlain,Jay,Chamberlain,Jay Chamberlain,CHA,,MALE,1925-12-29,2001-08-01,Los Angeles,united-states-of-america,united-states-of-america,
robin-montgomerie-charrington,Robin Montgomerie-Charrington,Robin,Montgomerie-Charrington,Robert Victor Campbell Montgomerie,MON,,MALE,1915-06-23,2007-04-03,London,united-kingdom,united-kingdom,
mike-sparken,Mike Sparken,Mike,Sparken,Michel Poberejsky,SPA,,MALE,1930-06-16,2012-09-21,Neuilly-sur-Seine,france,france,
daniel-ricciardo,Daniel Ricciardo,Daniel,Ricciardo,Daniel Ricciardo,RIC,3,MALE,1989-07-01,,Perth,australia,australia,
geoff-lees,Geoff Lees,Geoffrey,Lees,Geoffrey Lees,LEE,,MALE,1951-05-01,,Kingsbury,united-kingdom,united-kingdom,
david-hampshire,David Hampshire,David,Hampshire,David Alan Hampshire,HAM,,MALE,1917-12-29,1990-08-25,Mickleover,united-kingdom,united-kingdom,
toni-ulmen,Toni Ulmen,Toni,Ulmen,Anton Ulmen,ULM,,MALE,1906-01-25,1976-11-04,Düsseldorf,germany,germany,
massimo-natili,Massimo Natili,Massimo,Natili,Massimo Natili,NAT,,MALE,1935-07-28,,Ronciglione,italy,italy,
eric-bernard,Éric Bernard,Éric,Bernard,Éric Bernard,BER,,MALE,1964-08-24,,Martigues,france,france,
damon-hill,Damon Hill,Damon,Hill,Damon Graham Devereux Hill,HIL,,MALE,1960-09-17,,Hampstead,united-kingdom,united-kingdom,
alberto-rodriguez-larreta,Alberto Rodriguez Larreta,Alberto,Rodriguez Larreta,Alberto Rodriguez Larreta,ROD,,MALE,1934-01-14,1977-03-11,Buenos Aires,argentina,argentina,
umberto-maglioli,Umberto Maglioli,Umberto,Maglioli,Umberto Maglioli,MAG,,MALE,1928-06-05,1999-02-07,Bioglio,italy,italy,
ottorino-volonterio,Ottorino Volonterio,Ottorino,Volonterio,Ottorino Volonterio,VOL,,MALE,1917-12-07,2003-03-10,Orselina,switzerland,switzerland,
fernando-alonso,Fernando Alonso,Fernando,Alonso,Fernando Alonso Díaz,ALO,14,MALE,1981-07-29,,Oviedo,spain,spain,
louis-chiron,Louis Chiron,Louis,Chiron,Louis Alexandre Chiron,CHI,,MALE,1899-08-03,1979-06-22,Monte Carlo,monaco,monaco,
jo-gartner,Jo Gartner,Jo,Gartner,Josef Gartner,GAR,,MALE,1954-01-24,1986-06-01,Vienna,austria,austria,
bob-scott,Bob Scott,Bob,Scott,Bob Scott,SCO,,MALE,1928-10-04,1954-07-05,Watsonville,united-states-of-america,united-states-of-america,
harry-blanchard,Harry Blanchard,Harry,Blanchard,Harry Cutler Blanchard,BLA,,MALE,1929-06-13,1960-01-31,Burlington,united-states-of-america,united-states-of-america,
