id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
ferrari-031-15-v6-t,ferrari,25,Ferrari 031 1.5 V6 T,1.5,V6,TURBOCHARGED
honda-ra164e-15-v6-t,honda,RA164E,Honda RA164E 1.5 V6 T,1.5,V6,TURBOCHARGED
bmw-m12-1-16-l4,bmw,M12/1,BMW M12/1 1.6 L4,1.6,L4,NATURALLY_ASPIRATED
ford-cosworth-gba-15-v6-t,ford,Cosworth GBA,Ford Cosworth GBA 1.5 V6 T,1.5,V6,TURBOCHARGED
ferrari-033e-15-v6-t,ferrari,033E,Ferrari 033E 1.5 V6 T,1.5,V6,TURBOCHARGED
ford-hbe7-8-35-v8,ford,HBE7/8,Ford HBE7/8 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
ferrari-043-35-v12,ferrari,35,Ferrari 043 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
petronas-03a-30-v10,petronas,03A,Petronas 03A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
matra-ms71-30-v12,matra,MS71,Matra MS71 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
peugeot-a20-30-v10,peugeot,A20,Peugeot A20 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
ferrari-555-25-l4,ferrari,555,Ferrari 555 2.5 L4,2.5,L4,NATURALLY_ASPIRATED
mercedes-fo-108t-24-v8,mercedes,FO 108T,Mercedes FO 108T 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
brm-p142-30-v12,brm,P142,BRM P142 3.0 V12,3.0,V12,NATURALLY_ASPIRATED
ferrari-205b-15-v8,ferrari,205B,Ferrari 205B 1.5 V8,1.5,V8,NATURALLY_ASPIRATED
ferrari-052-30-v10,ferrari,42,Ferrari 052 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
osella-890t-15-v8-t,osella,890T,Osella 890T 1.5 V8 T,1.5,V8,TURBOCHARGED
tecno-series-p-30-f12,tecno,Series-P,Tecno Series-P 3.0 F12,3.0,F12,NATURALLY_ASPIRATED
brm-p75-30-h16,brm,P75,BRM P75 3.0 H16,3.0,H16,NATURALLY_ASPIRATED
renault-rs27-2010-24-v8,renault,RS27-2010,Renault RS27-2010 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
honda-ra165e-15-v6-t,honda,RA165E,Honda RA165E 1.5 V6 T,1.5,V6,TURBOCHARGED
ferrari-037-35-v12,ferrari,31,Ferrari 037 3.5 V12,3.5,V12,NATURALLY_ASPIRATED
mercedes-fo-110p-30-v10,mercedes,FO 110P,Mercedes FO 110P 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
climax-fwb-15-l4,climax,FWB,Climax FWB 1.5 L4,1.5,L4,NATURALLY_ASPIRATED
aston-martin-rb6-25-l6,aston-martin,RB6,Aston Martin RB6 2.5 L6,2.5,L6,NATURALLY_ASPIRATED
climax-fpf-20-l4,climax,FPF,Climax FPF 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
cosworth-ca2011-24-v8,cosworth,CA2011,Cosworth CA2011 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
bmw-p86-8-24-v8,bmw,P86/8,BMW P86/8 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
alta-15-l4-s,alta,Alta,Alta 1.5 L4 S,1.5,L4,SUPERCHARGED
bmw-p86-7-24-v8,bmw,P86/7,BMW P86/7 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
ford-edc-30-v8,ford,EDC,Ford EDC 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
alfa-romeo-giulietta-15-l4,alfa-romeo,Giulietta,Alfa Romeo Giulietta 1.5 L4,1.5,L4,NATURALLY_ASPIRATED
maserati-4cl-15-l4-s,maserati,4CL,Maserati 4CL 1.5 L4 S,1.5,L4,SUPERCHARGED
ferrari-554-25-l4,ferrari,554,Ferrari 554 2.5 L4,2.5,L4,NATURALLY_ASPIRATED
ford-hbe7-35-v8,ford,HBE7,Ford HBE7 3.5 V8,3.5,V8,NATURALLY_ASPIRATED
alfa-romeo-115-12-30-f12,alfa-romeo,115-12,Alfa Romeo 115-12 3.0 F12,3.0,F12,NATURALLY_ASPIRATED
bmw-p80-30-v10,bmw,P80,BMW P80 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
