id,engineManufacturerId,name,fullName,capacity,configuration,aspiration
acer-01a-30-v10,acer,01A,Acer 01A 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
butterworth-20-f4,butterworth,Butterworth,Butterworth 2.0 F4,2.0,F4,NATURALLY_ASPIRATED
ford-vj-zetec-r-30-v10,ford,VJ Zetec-R,Ford VJ Zetec-R 3.0 V10,3.0,V10,NATURALLY_ASPIRATED
jap-11-v2,jap,JAP,JAP 1.1 V2,1.1,V2,NATURALLY_ASPIRATED
mugen-honda-mf-351hd-35-v10,mugen-honda,MF-351HD,Mugen-Honda MF-351HD 3.5 V10,3.5,V10,NATURALLY_ASPIRATED
bwt-mercedes-16-v6-t-h,bwt-mercedes,BWT Mercedes,BWT Mercedes 1.6 V6 T H,1.6,V6,TURBOCHARGED_HYBRID
ats-27-v8,ats,ATS,ATS 2.7 V8,2.7,V8,NATURALLY_ASPIRATED
honda-ra168e-15-v6-t,honda,RA168E,Honda RA168E 1.5 V6 T,1.5,V6,TURBOCHARGED
mercedes-fo-108z-24-v8,mercedes,FO 108Z,Mercedes FO 108Z 2.4 V8,2.4,V8,NATURALLY_ASPIRATED
emw-6-20-l6,emw,6,EMW 6 2.0 L6,2.0,L6,NATURALLY_ASPIRATED
bpm-20-l4,bpm,BPM,BPM 2.0 L4,2.0,L4,NATURALLY_ASPIRATED
ford-ed2-30-v8,ford,ED2,Ford ED2 3.0 V8,3.0,V8,NATURALLY_ASPIRATED
honda-ra272e-15-v12,honda,RA272E,Honda RA272E 1.5 V12,1.5,V12,NATURALLY_ASPIRATED
