id,constructorId,name,fullName
alphatauri-at02,alphatauri,AT02,AlphaTauri AT02
jordan-195,jordan,195,Jordan 195
toro-rosso-str6,toro-rosso,STR6,Toro Rosso STR6
prost-js45,prost,JS45,Prost JS45
surtees-ts9b,surtees,TS9B,Surtees TS9B
williams-fw36,williams,FW36,Williams FW36
ferrari-156,ferrari,156,Ferrari 156
sherman,sherman,Sherman,Sherman
jordan-194,jordan,194,Jordan 194
ats-wheels-d4,ats-wheels,D4,ATS D4
gilby-61,gilby,61,Gilby 61
mclaren-mcl35,mclaren,MCL35,McLaren MCL35
alta-gp,alta,GP,Alta GP
maserati-4clt-50,maserati,4CLT/50,Maserati 4CLT/50
benetton-b189,benetton,B189,Benetton B189
epperly-indy-roadster,epperly,Indy Roadster,Epperly Indy Roadster
williams-fw15c,williams,FW15C,Williams FW15C
eurobrun-er189,eurobrun,ER189,EuroBrun ER189
mclaren-mp4-17,mclaren,MP4-17,McLaren MP4-17
matra-ms5,matra,MS5,Matra MS5
venturi-lc92,venturi,LC92,Venturi LC92
red-bull-rb18,red-bull,RB18,Red Bull RB18
ligier-js21,ligier,JS21,Ligier JS21
sauber-c37,sauber,C37,Sauber C37
sauber-c17,sauber,C17,Sauber C17
lds-mk-3,lds,Mk 3,LDS Mk 3
renault-r27,renault,R27,Renault R27
brabham-bt50,brabham,BT50,Brabham BT50
langley,langley,Langley,Langley
rial-arc1,rial,ARC1,Rial ARC1
parnelli-vpj4b,parnelli,VPJ4B,Parnelli VPJ4B
renault-r26,renault,R26,Renault R26
lotus-92,lotus,92,Lotus 92
force-india-vjm10,force-india,VJM10,Force India VJM10
ferrari-166s,ferrari,166S,Ferrari 166S
williams-fw45,williams,FW45,Williams FW45
brm-p160b,brm,P160B,BRM P160B
williams-fw09,williams,FW09,Williams FW09
matra-ms10,matra,MS10,Matra MS10
ferrari-f2002,ferrari,F2002,Ferrari F2002
williams-fw42,williams,FW42,Williams FW42
ferrari-126c4,ferrari,126C4,Ferrari 126C4
ferrari-312b2,ferrari,312B2,Ferrari 312B2
ferrari-312t4b,ferrari,312T4B,Ferrari 312T4B
minardi-m193b,minardi,M193B,Minardi M193B
matra-ms120d,matra,MS120D,Matra MS120D
tyrrell-017,tyrrell,15,Tyrrell 017
mclaren-mp4-22,mclaren,MP4-22,McLaren MP4-22
minardi-m185b,minardi,M185B,Minardi M185B
porsche-rs550,porsche,RS550,Porsche RS550
watson-indy-roadster,watson,Indy Roadster,Watson Indy Roadster
red-bull-rb12,red-bull,RB12,Red Bull RB12
jordan-197,jordan,197,Jordan 197
